Time	Theta
0.281	86.41631
0.359	86.41434
0.439	86.4103
0.533	86.4108
0.611	86.4073
0.689	86.40359
0.782	86.40231
0.86	86.40235
0.938	86.3993
1.016	86.40164
1.094	86.40235
1.172	86.40126
1.266	86.40245
1.344	86.40133
1.422	86.39583
1.516	86.39481
1.594	86.3932
1.672	86.39406
1.765	86.3936
1.843	86.38903
1.921	86.39153
2.015	86.38908
2.093	86.38911
2.171	86.38601
2.264	86.3867
2.342	86.38707
2.42	86.38498
2.514	86.38308
2.592	86.38235
2.67	86.38229
2.764	86.38503
2.842	86.38036
2.92	86.38097
2.998	86.3781
3.076	86.37927
3.154	86.3808
3.232	86.37992
3.31	86.37775
3.388	86.37667
3.481	86.37778
3.559	86.37881
3.637	86.37832
3.715	86.37891
3.793	86.3772
3.871	86.3793
3.949	86.37765
4.027	86.37534
4.105	86.37756
4.199	86.37367
4.277	86.3779
4.355	86.37569
4.448	86.37717
4.526	86.37897
4.604	86.37849
4.698	86.37894
4.776	86.37746
4.854	86.37508
4.948	86.37716
5.026	86.3754
5.104	86.37588
5.197	86.37166
5.275	86.3773
5.353	86.37803
5.447	86.3745
5.525	86.37516
5.603	86.3771
5.696	86.37461
5.774	86.37807
5.852	86.3755
5.93	86.37456
6.008	86.37091
6.086	86.37324
6.18	86.37647
6.258	86.37571
6.336	86.37823
6.43	86.37666
6.508	86.37531
6.586	86.37333
6.679	86.37507
6.757	86.37521
6.835	86.3754
6.913	86.37416
6.991	86.37627
7.069	86.37438
7.147	86.37567
7.225	86.37581
7.303	86.3772
7.381	86.37416
7.459	86.37592
7.537	86.37391
7.615	86.37042
7.693	86.37528
7.771	86.37197
7.865	86.37447
7.943	86.37408
8.021	86.37195
8.099	86.37238
8.177	86.3717
8.255	86.37316
8.333	86.37349
8.411	86.37351
8.489	86.37326
8.582	86.37286
8.66	86.37038
8.738	86.37257
8.816	86.37347
8.894	86.37477
8.972	86.37239
9.066	86.37193
9.144	86.37246
9.222	86.37519
9.315	86.37239
9.393	86.37178
9.471	86.37205
9.565	86.37305
9.643	86.37211
9.721	86.37083
9.799	86.36918
9.877	86.37231
9.955	86.36907
10.033	86.37305
10.111	86.36967
10.189	86.37246
10.283	86.37205
10.361	86.37128
10.439	86.37227
10.532	86.36897
10.569	86.36938
10.681	86.3702
10.759	86.37151
10.837	86.37163
10.915	86.3697
10.993	86.37025
11.071	86.37038
11.149	86.37216
11.242	86.37114
11.32	86.36803
11.398	86.3695
11.492	86.3713
11.57	86.37177
11.648	86.37102
11.741	86.3709
11.819	86.37013
11.898	86.37119
11.992	86.37127
12.07	86.37154
12.148	86.3717
12.226	86.37055
12.304	86.37267
12.382	86.37157
12.476	86.37218
12.554	86.37445
12.632	86.37328
12.725	86.37168
12.803	86.37443
12.881	86.37492
12.959	86.37241
13.037	86.37123
13.115	86.3732
13.193	86.3751
13.271	86.37244
13.349	86.37593
13.427	86.37293
13.505	86.37058
13.583	86.37106
13.677	86.37233
13.755	86.37035
13.833	86.37064
13.911	86.3696
13.989	86.36956
14.067	86.3694
14.16	86.3689
14.238	86.37022
14.316	86.37114
14.41	86.3706
14.488	86.37048
14.566	86.37183
14.644	86.36883
14.722	86.37086
14.8	86.37157
14.894	86.37029
14.972	86.37135
15.05	86.37131
15.128	86.37067
15.206	86.37322
15.284	86.37295
15.362	86.37252
15.44	86.37279
15.518	86.37236
15.611	86.37369
15.689	86.37305
15.767	86.37309
15.861	86.37255
15.939	86.37333
16.017	86.36954
16.11	86.37522
16.188	86.37369
16.266	86.3729
16.344	86.37238
16.422	86.37353
16.5	86.37218
16.594	86.37407
16.672	86.37255
16.75	86.37298
16.828	86.37191
16.906	86.37517
16.984	86.37411
