Fext	FextSD	Fgen	R	RSD	Theta	ThetaSD	Time
3.50005703120000034687e+004	0.00000000000000000000e+000	3.50000000000000000000e+004	7.44238350309999960059e-005	0.00000000000000000000e+000	3.69571762079999999173e+001	0.00000000000000000000e+000	1.01900010486133396626e+000
3.50014023440000019036e+004	0.00000000000000000000e+000	3.50010000000000000000e+004	7.44418284740000024777e-005	0.00000000000000000000e+000	3.69079818729999971083e+001	0.00000000000000000000e+000	1.26400010485667735338e+000
3.50024765620000034687e+004	0.00000000000000000000e+000	3.50020000000000000000e+004	7.43203199819999962145e-005	0.00000000000000000000e+000	3.69246978760000033049e+001	0.00000000000000000000e+000	1.50700010487344115973e+000
3.50033281250000000000e+004	0.00000000000000000000e+000	3.50030000000000000000e+004	7.44908902559999954330e-005	0.00000000000000000000e+000	3.68591880800000026852e+001	0.00000000000000000000e+000	1.75000010489020496607e+000
3.50043984379999965313e+004	0.00000000000000000000e+000	3.50040000000000000000e+004	7.44742428649999941171e-005	0.00000000000000000000e+000	3.68645019530000013219e+001	0.00000000000000000000e+000	1.99500010488554835320e+000
3.50051328120000034687e+004	0.00000000000000000000e+000	3.50050000000000000000e+004	7.44396456869999981545e-005	0.00000000000000000000e+000	3.68864669800000015698e+001	0.00000000000000000000e+000	2.24600010493304580450e+000
3.50064335940000019036e+004	0.00000000000000000000e+000	3.50060000000000000000e+004	7.45745201129999993762e-005	0.00000000000000000000e+000	3.69169120789999993804e+001	0.00000000000000000000e+000	2.49700010486412793398e+000
3.50075507809999980964e+004	0.00000000000000000000e+000	3.50070000000000000000e+004	7.44940916769999981811e-005	0.00000000000000000000e+000	3.68633995060000003718e+001	0.00000000000000000000e+000	2.73900010494980961084e+000
3.50083593750000000000e+004	0.00000000000000000000e+000	3.50080000000000000000e+004	7.44637800379999940242e-005	0.00000000000000000000e+000	3.68392410279999964473e+001	0.00000000000000000000e+000	2.97800010489299893379e+000
3.50095351559999980964e+004	0.00000000000000000000e+000	3.50090000000000000000e+004	7.44939752620000031087e-005	0.00000000000000000000e+000	3.69379310610000004544e+001	0.00000000000000000000e+000	3.22600010491441935301e+000
3.50103125000000000000e+004	0.00000000000000000000e+000	3.50100000000000000000e+004	7.44213830329999958798e-005	0.00000000000000000000e+000	3.69368438719999971909e+001	0.00000000000000000000e+000	3.47700010496191680431e+000
3.50114570309999980964e+004	0.00000000000000000000e+000	3.50110000000000000000e+004	7.43819182390000050017e-005	0.00000000000000000000e+000	3.68503456119999981411e+001	0.00000000000000000000e+000	3.71900010493118315935e+000
3.50124023440000019036e+004	0.00000000000000000000e+000	3.50120000000000000000e+004	7.44478529669999968032e-005	0.00000000000000000000e+000	3.68934211730000001239e+001	0.00000000000000000000e+000	3.96700010495260357857e+000
3.50133281250000000000e+004	0.00000000000000000000e+000	3.50130000000000000000e+004	7.45938159529999995001e-005	0.00000000000000000000e+000	3.68748207089999979758e+001	0.00000000000000000000e+000	4.21600010490510612726e+000
3.50145468750000000000e+004	0.00000000000000000000e+000	3.50140000000000000000e+004	7.45066427039999998848e-005	0.00000000000000000000e+000	3.68636436459999998760e+001	0.00000000000000000000e+000	4.46600010490510612726e+000
3.50152656250000000000e+004	0.00000000000000000000e+000	3.50150000000000000000e+004	7.44839708200000042435e-005	0.00000000000000000000e+000	3.68962860110000008262e+001	0.00000000000000000000e+000	4.70900010492186993361e+000
3.50164531250000000000e+004	0.00000000000000000000e+000	3.50160000000000000000e+004	7.46037112549999959074e-005	0.00000000000000000000e+000	3.68992958070000014459e+001	0.00000000000000000000e+000	4.94800010486505925655e+000
3.50173476559999980964e+004	0.00000000000000000000e+000	3.50170000000000000000e+004	7.45044962970000008984e-005	0.00000000000000000000e+000	3.68888282779999983063e+001	0.00000000000000000000e+000	5.20100010489113628864e+000
