Time	FrequencyExternal	FrequencyGenerator	ThetaPeak
26.16400006297044456005	94852.32031199999619275331	94851.11999999999534338713	99.05455779999999776919
32.45500006293877959251	94862.24218800000380724669	94861.07024875620845705271	99.28165435799999727351
38.66300006292294710875	94872.32031199999619275331	94870.97099378726852592081	99.69522857699999462966
44.76700006297323852777	94881.89843800000380724669	94880.82248138036811724305	99.69054412799999909112
50.99000006297137588263	94891.75781199999619275331	94890.62495659738488029689	99.62265014599999801703
57.76500006299465894699	94901.74218800000380724669	94900.37866328097879886627	99.47663879399999586894
63.90300006291363388300	94911.24218800000380724669	94910.08384406067489180714	99.39223480200000437890
70.12600006291177123785	94920.85937500000000000000	94919.74074035888770595193	99.36277771000000313961
76.58700006292201578617	94930.50000000000000000000	94929.34959239690215326846	99.41162109399999735615
83.17000006290618330240	94939.89062500000000000000	94938.91063920089800376445	99.49184417700000437890
89.96900006290525197983	94949.40625000000000000000	94948.42411860785796307027	99.89405822800000578354
96.87200006295461207628	94959.01562500000000000000	94957.89026727150485385209	99.53845977800000355273
103.55200006288941949606	94968.60156199999619275331	94967.30932066816603764892	99.73777771000000313961
110.77300006290897727013	94977.84375000000000000000	94976.68151310265238862485	99.82956695599999363822
117.86600006290245801210	94987.28125000000000000000	94986.00707771407905966043	99.70917511000000388321
125.38600006292108446360	94996.36718800000380724669	94995.28624648167169652879	99.71217346199999553846
132.92500006291083991528	95005.82812500000000000000	95004.51925023051444441080	99.61696624799999710831
140.95500006293877959251	95014.83593800000380724669	95013.70631863732705824077	99.75363922100000024784
148.66700006299652159214	95023.91406199999619275331	95022.84768023614014964551	99.70175170900000694019
156.82500006293412297964	95033.14062500000000000000	95031.94356242401408962905	100.53330230999999628239
164.96000006294343620539	95042.07031199999619275331	95040.99419146668515168130	100.03831481999999652999
173.50200006295926868916	95051.20312500000000000000	95049.99979250416799914092	99.98813629199999297725
181.85300006298348307610	95060.32812500000000000000	95058.96058955638727638870	100.36605072000000404842
