Fext	FextSD	Fgen	R	RSD	Theta	ThetaSD	X	XSD	Y	YSD	Time	Interval	Round
8.70010781250000000000e+004	0.00000000000000000000e+000	8.70000000000000000000e+004	1.82877833139999986922e-004	0.00000000000000000000e+000	1.09788009639999998512e+002	0.00000000000000000000e+000	-1.80311276440142019767e-004	0.00000000000000000000e+000	3.05310570159037064750e-005	0.00000000000000000000e+000	9.03000051504932343960e-001	1	1
8.70035234380000038072e+004	0.00000000000000000000e+000	8.70020000000000000000e+004	1.83073745570000012001e-004	0.00000000000000000000e+000	1.09691780089999994630e+002	0.00000000000000000000e+000	-1.76732737001081692237e-004	0.00000000000000000000e+000	4.77654267136345749793e-005	0.00000000000000000000e+000	1.14500005147419869900e+000	1	1
8.70051406250000000000e+004	0.00000000000000000000e+000	8.70040000000000000000e+004	1.82954099730000012067e-004	0.00000000000000000000e+000	1.09639877319999996530e+002	0.00000000000000000000e+000	-1.73902968783114523967e-004	0.00000000000000000000e+000	5.68327375412612734651e-005	0.00000000000000000000e+000	1.38700005144346505404e+000	1	1
8.70074687500000000000e+004	0.00000000000000000000e+000	8.70060000000000000000e+004	1.83395663040000008077e-004	0.00000000000000000000e+000	1.09838508610000005206e+002	0.00000000000000000000e+000	-1.82136822455558877168e-004	0.00000000000000000000e+000	2.14510402468844402408e-005	0.00000000000000000000e+000	1.62700005155056715012e+000	1	1
8.70094453119999961928e+004	0.00000000000000000000e+000	8.70080000000000000000e+004	1.83947631739999999112e-004	0.00000000000000000000e+000	1.09756454469999994217e+002	0.00000000000000000000e+000	-1.80306885335066032720e-004	0.00000000000000000000e+000	3.64164567678131327784e-005	0.00000000000000000000e+000	1.86600005149375647306e+000	1	1
8.70111484380000038072e+004	0.00000000000000000000e+000	8.70100000000000000000e+004	1.83316296899999991955e-004	0.00000000000000000000e+000	1.09788299559999998678e+002	0.00000000000000000000e+000	-1.80752451871958992819e-004	0.00000000000000000000e+000	3.05518551221378259443e-005	0.00000000000000000000e+000	2.10600005148444324732e+000	1	1
8.70131250000000000000e+004	0.00000000000000000000e+000	8.70120000000000000000e+004	1.84482472830000006868e-004	0.00000000000000000000e+000	1.09579360960000002478e+002	0.00000000000000000000e+000	-1.71568805965238349977e-004	0.00000000000000000000e+000	6.78080201829700805922e-005	0.00000000000000000000e+000	2.34900005150120705366e+000	1	1
8.70144218750000000000e+004	0.00000000000000000000e+000	8.70140000000000000000e+004	1.84154676390000011672e-004	0.00000000000000000000e+000	1.09499755859999993390e+002	0.00000000000000000000e+000	-1.65339010166761445596e-004	0.00000000000000000000e+000	8.10922718474527674153e-005	0.00000000000000000000e+000	2.59000005153939127922e+000	1	1
8.70176015619999961928e+004	0.00000000000000000000e+000	8.70160000000000000000e+004	1.84316231750000010959e-004	0.00000000000000000000e+000	1.09777297970000006444e+002	0.00000000000000000000e+000	-1.81389457889341549441e-004	0.00000000000000000000e+000	3.27160182957905517503e-005	0.00000000000000000000e+000	2.83100005146116018295e+000	1	1
8.70196171880000038072e+004	0.00000000000000000000e+000	8.70180000000000000000e+004	1.83773649039999998397e-004	0.00000000000000000000e+000	1.09745285030000005122e+002	0.00000000000000000000e+000	-1.79718751426433869054e-004	0.00000000000000000000e+000	3.83917239415054964446e-005	0.00000000000000000000e+000	3.07500005152542144060e+000	1	1
8.70212656250000000000e+004	0.00000000000000000000e+000	8.70200000000000000000e+004	1.84102595089999989406e-004	0.00000000000000000000e+000	1.09766227720000003387e+002	0.00000000000000000000e+000	-1.80806364577874634008e-004	0.00000000000000000000e+000	3.46817538052094980969e-005	0.00000000000000000000e+000	3.31600005144719034433e+000	1	1
8.70229609380000038072e+004	0.00000000000000000000e+000	8.70220000000000000000e+004	1.84685937710000005509e-004	0.00000000000000000000e+000	1.09331054690000001983e+002	0.00000000000000000000e+000	-1.49807171314397357797e-004	0.00000000000000000000e+000	1.08012531729428495203e-004	0.00000000000000000000e+000	3.55700005148537456989e+000	1	1
8.70251015619999961928e+004	0.00000000000000000000e+000	8.70240000000000000000e+004	1.84571632419999986626e-004	0.00000000000000000000e+000	1.09632469180000001074e+002	0.00000000000000000000e+000	-1.75010921202647983311e-004	0.00000000000000000000e+000	5.86333092532233975916e-005	0.00000000000000000000e+000	3.80000005150213837624e+000	1	1
8.70265781250000000000e+004	0.00000000000000000000e+000	8.70260000000000000000e+004	1.85393320860000005790e-004	0.00000000000000000000e+000	1.09630569460000003801e+002	0.00000000000000000000e+000	-1.75677846733749472991e-004	0.00000000000000000000e+000	5.92281823669453798839e-005	0.00000000000000000000e+000	4.04100005154032260180e+000	1	1
8.70288125000000000000e+004	0.00000000000000000000e+000	8.70280000000000000000e+004	1.85241078730000001407e-004	0.00000000000000000000e+000	1.09575057979999996860e+002	0.00000000000000000000e+000	-1.71979739549384596587e-004	0.00000000000000000000e+000	6.88275121850259827966e-005	0.00000000000000000000e+000	4.28400005144067108631e+000	1	1
8.70309765619999961928e+004	0.00000000000000000000e+000	8.70300000000000000000e+004	1.84723408890000010719e-004	0.00000000000000000000e+000	1.09538543700000005288e+002	0.00000000000000000000e+000	-1.68879206042879569712e-004	0.00000000000000000000e+000	7.48501941097601020429e-005	0.00000000000000000000e+000	4.52500005147885531187e+000	1	1
8.70325703119999961928e+004	0.00000000000000000000e+000	8.70320000000000000000e+004	1.85589349710000000443e-004	0.00000000000000000000e+000	1.09596809390000004214e+002	0.00000000000000000000e+000	-1.73762111049852684391e-004	0.00000000000000000000e+000	6.51930631990807723641e-005	0.00000000000000000000e+000	4.76600005151703953743e+000	1	1
8.70351796880000038072e+004	0.00000000000000000000e+000	8.70340000000000000000e+004	1.86036268129999993052e-004	0.00000000000000000000e+000	1.09715309140000002230e+002	0.00000000000000000000e+000	-1.80684894579281792861e-004	0.00000000000000000000e+000	4.42996831886084661031e-005	0.00000000000000000000e+000	5.00900005153380334377e+000	1	1
8.70370546880000038072e+004	0.00000000000000000000e+000	8.70360000000000000000e+004	1.86235105499999993410e-004	0.00000000000000000000e+000	1.09525047299999997108e+002	0.00000000000000000000e+000	-1.69227289644425642765e-004	0.00000000000000000000e+000	7.77537070511612031249e-005	0.00000000000000000000e+000	5.26000005146488547325e+000	1	1
8.70391484380000038072e+004	0.00000000000000000000e+000	8.70380000000000000000e+004	1.86432691409999992931e-004	0.00000000000000000000e+000	1.09794723509999997191e+002	0.00000000000000000000e+000	-1.84021066531111598778e-004	0.00000000000000000000e+000	2.98897222992868231322e-005	0.00000000000000000000e+000	5.50100005150306969881e+000	1	1
8.70407578119999961928e+004	0.00000000000000000000e+000	8.70400000000000000000e+004	1.86561461310000010734e-004	0.00000000000000000000e+000	1.09825996399999993969e+002	0.00000000000000000000e+000	-1.84993361345102516917e-004	0.00000000000000000000e+000	2.41378355359995456738e-005	0.00000000000000000000e+000	5.74100005149375647306e+000	1	1
8.70431093750000000000e+004	0.00000000000000000000e+000	8.70420000000000000000e+004	1.86712073630000002789e-004	0.00000000000000000000e+000	1.09593223570000006362e+002	0.00000000000000000000e+000	-1.74576977851257313492e-004	0.00000000000000000000e+000	6.62138750077063579580e-005	0.00000000000000000000e+000	5.98200005153194069862e+000	1	1
8.70449687500000000000e+004	0.00000000000000000000e+000	8.70440000000000000000e+004	1.87399491549999989417e-004	0.00000000000000000000e+000	1.09475555420000006279e+002	0.00000000000000000000e+000	-1.66206172732662280783e-004	0.00000000000000000000e+000	8.65683405105986149546e-005	0.00000000000000000000e+000	6.22400005150120705366e+000	1	1
8.70472500000000000000e+004	0.00000000000000000000e+000	8.70460000000000000000e+004	1.87203419050000011972e-004	0.00000000000000000000e+000	1.09726455689999994547e+002	0.00000000000000000000e+000	-1.82304053463150215640e-004	0.00000000000000000000e+000	4.25482337461237071713e-005	0.00000000000000000000e+000	6.46300005144439637661e+000	1	1
8.70494453119999961928e+004	0.00000000000000000000e+000	8.70480000000000000000e+004	1.87661527889999987188e-004	0.00000000000000000000e+000	1.09559944150000006857e+002	0.00000000000000000000e+000	-1.73153211332599207307e-004	0.00000000000000000000e+000	7.23520176305919067309e-005	0.00000000000000000000e+000	6.70400005148258060217e+000	1	1
8.70508046880000038072e+004	0.00000000000000000000e+000	8.70500000000000000000e+004	1.87326906599999989641e-004	0.00000000000000000000e+000	1.09464187620000004131e+002	0.00000000000000000000e+000	-1.65147372428886432625e-004	0.00000000000000000000e+000	8.84178450097026900510e-005	0.00000000000000000000e+000	6.94600005145184695721e+000	1	1
8.70531406250000000000e+004	0.00000000000000000000e+000	8.70520000000000000000e+004	1.87827608900000003625e-004	0.00000000000000000000e+000	1.09635391240000004132e+002	0.00000000000000000000e+000	-1.78271831698810544545e-004	0.00000000000000000000e+000	5.91469753059472227595e-005	0.00000000000000000000e+000	7.18900005146861076355e+000	1	1
8.70550859380000038072e+004	0.00000000000000000000e+000	8.70540000000000000000e+004	1.88188510949999996671e-004	0.00000000000000000000e+000	1.09576652530000004049e+002	0.00000000000000000000e+000	-1.74827439202788949973e-004	0.00000000000000000000e+000	6.96439671139819396458e-005	0.00000000000000000000e+000	7.43000005150679498911e+000	1	1
8.70571640619999961928e+004	0.00000000000000000000e+000	8.70560000000000000000e+004	1.88796591829999991846e-004	0.00000000000000000000e+000	1.09493133540000002313e+002	0.00000000000000000000e+000	-1.68952378180243351340e-004	0.00000000000000000000e+000	8.42570293439286167013e-005	0.00000000000000000000e+000	7.67200005147606134415e+000	1	1
8.70591953119999961928e+004	0.00000000000000000000e+000	8.70580000000000000000e+004	1.88879756019999999698e-004	0.00000000000000000000e+000	1.09821243289999998183e+002	0.00000000000000000000e+000	-1.87173899469423427565e-004	0.00000000000000000000e+000	2.53277237742538412007e-005	0.00000000000000000000e+000	7.91600005154032260180e+000	1	1
8.70613046880000038072e+004	0.00000000000000000000e+000	8.70600000000000000000e+004	1.89600730660000006342e-004	0.00000000000000000000e+000	1.09585670469999996612e+002	0.00000000000000000000e+000	-1.76764981162330707095e-004	0.00000000000000000000e+000	6.85753490803126160031e-005	0.00000000000000000000e+000	8.15800005150958895683e+000	1	1
8.70631093750000000000e+004	0.00000000000000000000e+000	8.70620000000000000000e+004	1.89679471080000011706e-004	0.00000000000000000000e+000	1.09527648929999998018e+002	0.00000000000000000000e+000	-1.72562544559042978795e-004	0.00000000000000000000e+000	7.87430629611070461143e-005	0.00000000000000000000e+000	8.39700005145277827978e+000	1	1
8.70652578119999961928e+004	0.00000000000000000000e+000	8.70640000000000000000e+004	1.90148159159999994997e-004	0.00000000000000000000e+000	1.09456756589999997686e+002	0.00000000000000000000e+000	-1.66963035009237459631e-004	0.00000000000000000000e+000	9.09926775759502617664e-005	0.00000000000000000000e+000	8.64000005146954208612e+000	1	1
8.70670000000000000000e+004	0.00000000000000000000e+000	8.70660000000000000000e+004	1.90493214180000009590e-004	0.00000000000000000000e+000	1.09509826660000001652e+002	0.00000000000000000000e+000	-1.71866005600747524286e-004	0.00000000000000000000e+000	8.21568059716976567585e-005	0.00000000000000000000e+000	8.88300005148630589247e+000	1	1
8.70690468750000000000e+004	0.00000000000000000000e+000	8.70680000000000000000e+004	1.91498562339999993213e-004	0.00000000000000000000e+000	1.09474472050000002810e+002	0.00000000000000000000e+000	-1.69745736212138841146e-004	0.00000000000000000000e+000	8.86458369924151710819e-005	0.00000000000000000000e+000	9.12000005145091563463e+000	1	1
8.70705859380000038072e+004	0.00000000000000000000e+000	8.70700000000000000000e+004	1.91515733600000013495e-004	0.00000000000000000000e+000	1.09579437260000005949e+002	0.00000000000000000000e+000	-1.78115113010441213038e-004	0.00000000000000000000e+000	7.03795619027564457564e-005	0.00000000000000000000e+000	9.36200005153659731150e+000	1	1
8.70735078119999961928e+004	0.00000000000000000000e+000	8.70720000000000000000e+004	1.91129249289999998598e-004	0.00000000000000000000e+000	1.09367233279999993556e+002	0.00000000000000000000e+000	-1.58975376678109116008e-004	0.00000000000000000000e+000	1.06100044977428157960e-004	0.00000000000000000000e+000	9.60100005147978663445e+000	1	1
8.70752734380000038072e+004	0.00000000000000000000e+000	8.70740000000000000000e+004	1.91361221369999994369e-004	0.00000000000000000000e+000	1.09318771359999999504e+002	0.00000000000000000000e+000	-1.53835414813264311114e-004	0.00000000000000000000e+000	1.13814683558181728852e-004	0.00000000000000000000e+000	9.84200005151797086000e+000	1	1
8.70770859380000038072e+004	0.00000000000000000000e+000	8.70760000000000000000e+004	1.91832907149999990718e-004	0.00000000000000000000e+000	1.09392875669999995125e+002	0.00000000000000000000e+000	-1.62238578002979396287e-004	0.00000000000000000000e+000	1.02364584076680031248e-004	0.00000000000000000000e+000	1.00820000515086576343e+001	1	1
8.70787500000000000000e+004	0.00000000000000000000e+000	8.70780000000000000000e+004	1.92444087590000007188e-004	0.00000000000000000000e+000	1.09491333010000005288e+002	0.00000000000000000000e+000	-1.72061572127894124194e-004	0.00000000000000000000e+000	8.61947924484134840812e-005	0.00000000000000000000e+000	1.03230000515468418598e+001	1	1
8.70810390619999961928e+004	0.00000000000000000000e+000	8.70800000000000000000e+004	1.93201398360000011671e-004	0.00000000000000000000e+000	1.09217124940000005040e+002	0.00000000000000000000e+000	-1.42853068051834020515e-004	0.00000000000000000000e+000	1.30076059582220931359e-004	0.00000000000000000000e+000	1.05600000515114516020e+001	1	1
8.70827500000000000000e+004	0.00000000000000000000e+000	8.70820000000000000000e+004	1.93152431169999995930e-004	0.00000000000000000000e+000	1.09348236080000006609e+002	0.00000000000000000000e+000	-1.58592389924055949873e-004	0.00000000000000000000e+000	1.10255682506879361979e-004	0.00000000000000000000e+000	1.08000000515021383762e+001	1	1
8.70853046880000038072e+004	0.00000000000000000000e+000	8.70840000000000000000e+004	1.93701722309999987059e-004	0.00000000000000000000e+000	1.09174278259999994134e+002	0.00000000000000000000e+000	-1.37505509734900019901e-004	0.00000000000000000000e+000	1.36427973738546988447e-004	0.00000000000000000000e+000	1.10430000515189021826e+001	1	1
8.70873671880000038072e+004	0.00000000000000000000e+000	8.70860000000000000000e+004	1.93641710210000006845e-004	0.00000000000000000000e+000	1.09186721800000000826e+002	0.00000000000000000000e+000	-1.39149343014939184861e-004	0.00000000000000000000e+000	1.34664666009924128068e-004	0.00000000000000000000e+000	1.12850000514881685376e+001	1	1
8.70895546880000038072e+004	0.00000000000000000000e+000	8.70880000000000000000e+004	1.94572596230000002988e-004	0.00000000000000000000e+000	1.09126953119999996034e+002	0.00000000000000000000e+000	-1.31486000925930767401e-004	0.00000000000000000000e+000	1.43422197599216648921e-004	0.00000000000000000000e+000	1.15290000515524297953e+001	1	1
8.70912265619999961928e+004	0.00000000000000000000e+000	8.70900000000000000000e+004	1.94871958230000011728e-004	0.00000000000000000000e+000	1.09212471010000001570e+002	0.00000000000000000000e+000	-1.43476122120007675660e-004	0.00000000000000000000e+000	1.31869945346919405227e-004	0.00000000000000000000e+000	1.17680000514956191182e+001	1	1
