Fext	FextSD	Fgen	R	RSD	Theta	ThetaSD	X	XSD	Y	YSD	Time	Interval	Round
1.01011418750000000000e+006	0.00000000000000000000e+000	0.00000000000000000000e+000	6.38949393759999958835e-004	0.00000000000000000000e+000	-4.09459561109999981010e-001	0.00000000000000000000e+000	5.86131353182996889251e-004	0.00000000000000000000e+000	-2.54374457448345941100e-004	0.00000000000000000000e+000	2.53000114462338387966e-001	1.00000000000000000000e+000	1.00000000000000000000e+000
1.01011387500000000000e+006	0.00000000000000000000e+000	0.00000000000000000000e+000	6.38933503069999994377e-004	0.00000000000000000000e+000	-4.04468417169999983063e-001	0.00000000000000000000e+000	5.87379058250187403682e-004	0.00000000000000000000e+000	-2.51439581757575817723e-004	0.00000000000000000000e+000	3.63000114448368549347e-001	1.00000000000000000000e+000	1.00000000000000000000e+000
1.01011418750000000000e+006	0.00000000000000000000e+000	0.00000000000000000000e+000	6.38941128269999948294e-004	0.00000000000000000000e+000	-4.05662000179999981953e-001	0.00000000000000000000e+000	5.87085532255802468836e-004	0.00000000000000000000e+000	-2.52143497260710013324e-004	0.00000000000000000000e+000	4.80000114417634904385e-001	1.00000000000000000000e+000	1.00000000000000000000e+000
1.01011425000000000000e+006	0.00000000000000000000e+000	0.00000000000000000000e+000	6.38927391259999947690e-004	0.00000000000000000000e+000	-4.05402451750000003550e-001	0.00000000000000000000e+000	5.87138332389822116195e-004	0.00000000000000000000e+000	-2.51985693920920433841e-004	0.00000000000000000000e+000	5.88000114425085484982e-001	1.00000000000000000000e+000	1.00000000000000000000e+000
1.01011425000000000000e+006	0.00000000000000000000e+000	0.00000000000000000000e+000	6.38931000140000016595e-004	0.00000000000000000000e+000	-4.05738860370000009592e-001	0.00000000000000000000e+000	5.87056844887143399955e-004	0.00000000000000000000e+000	-2.52184622471421111128e-004	0.00000000000000000000e+000	6.94000114453956484795e-001	1.00000000000000000000e+000	1.00000000000000000000e+000
1.01011437500000000000e+006	0.00000000000000000000e+000	0.00000000000000000000e+000	6.38951954900000016271e-004	0.00000000000000000000e+000	-4.04179841280000007320e-001	0.00000000000000000000e+000	5.87468558271300777054e-004	0.00000000000000000000e+000	-2.51277324311548048465e-004	0.00000000000000000000e+000	8.03000114392489194870e-001	1.00000000000000000000e+000	1.00000000000000000000e+000
1.01011431250000000000e+006	0.00000000000000000000e+000	0.00000000000000000000e+000	6.38966041150000000487e-004	0.00000000000000000000e+000	-4.05305117370000023147e-001	0.00000000000000000000e+000	5.87198375038131123102e-004	0.00000000000000000000e+000	-2.51943783601583980256e-004	0.00000000000000000000e+000	9.10000114468857645988e-001	1.00000000000000000000e+000	1.00000000000000000000e+000
1.01011418750000000000e+006	0.00000000000000000000e+000	0.00000000000000000000e+000	6.38921163039999988852e-004	0.00000000000000000000e+000	-4.05784934759999993403e-001	0.00000000000000000000e+000	5.87036186754385591949e-004	0.00000000000000000000e+000	-2.52207787392174796661e-004	0.00000000000000000000e+000	1.01900011440739035606e+000	1.00000000000000000000e+000	1.00000000000000000000e+000
1.01011437500000000000e+006	0.00000000000000000000e+000	0.00000000000000000000e+000	6.38938567140000029596e-004	0.00000000000000000000e+000	-4.04413789510000010186e-001	0.00000000000000000000e+000	5.87397448497505654703e-004	0.00000000000000000000e+000	-2.51409486848719614278e-004	0.00000000000000000000e+000	1.12700011441484093666e+000	1.00000000000000000000e+000	1.00000000000000000000e+000
1.01011425000000000000e+006	0.00000000000000000000e+000	0.00000000000000000000e+000	6.38948171399999955561e-004	0.00000000000000000000e+000	-4.06626731159999976750e-001	0.00000000000000000000e+000	5.86848477283090060388e-004	0.00000000000000000000e+000	-2.52712545090112792462e-004	0.00000000000000000000e+000	1.23200011439621448517e+000	1.00000000000000000000e+000	1.00000000000000000000e+000
1.01011412500000000000e+006	0.00000000000000000000e+000	0.00000000000000000000e+000	6.38908997640000005450e-004	0.00000000000000000000e+000	-4.03360217809999976879e-001	0.00000000000000000000e+000	5.87634803892703888074e-004	0.00000000000000000000e+000	-2.50778875743817310749e-004	0.00000000000000000000e+000	1.34000011440366506577e+000	1.00000000000000000000e+000	1.00000000000000000000e+000
