Fext	FextSD	Fgen	R	RSD	Theta	ThetaSD	X	XSD	Y	YSD	Time	Interval	Round
1.01008818750000000000e+006	0.00000000000000000000e+000	1.01007400000000000000e+006	6.38433906719999963095e-004	0.00000000000000000000e+000	-3.14738512039999973613e-001	0.00000000000000000000e+000	6.07072347554885537700e-004	0.00000000000000000000e+000	-1.97638604740981365738e-004	0.00000000000000000000e+000	2.69955899992946069688e+003	1.00000000000000000000e+000	3.50000000000000000000e+001
1.01008943750000000000e+006	0.00000000000000000000e+000	1.01007500000000000000e+006	6.38464116489999983228e-004	0.00000000000000000000e+000	-3.14009398220000013335e-001	0.00000000000000000000e+000	6.07245019815615149662e-004	0.00000000000000000000e+000	-1.97205258435188308811e-004	0.00000000000000000000e+000	2.69982799992943182588e+003	1.00000000000000000000e+000	3.50000000000000000000e+001
1.01009012500000000000e+006	0.00000000000000000000e+000	1.01007600000000000000e+006	6.38469005929999996324e-004	0.00000000000000000000e+000	-3.15773308279999997961e-001	0.00000000000000000000e+000	6.06900870661421817757e-004	0.00000000000000000000e+000	-1.98277595112636239151e-004	0.00000000000000000000e+000	2.70009499992942437530e+003	1.00000000000000000000e+000	3.50000000000000000000e+001
1.01009137500000000000e+006	0.00000000000000000000e+000	1.01007700000000000000e+006	6.38508761770000031824e-004	0.00000000000000000000e+000	-3.15921843049999984121e-001	0.00000000000000000000e+000	6.06909201187944545054e-004	0.00000000000000000000e+000	-1.98380090660503689316e-004	0.00000000000000000000e+000	2.70036599992937408388e+003	1.00000000000000000000e+000	3.50000000000000000000e+001
1.01009237500000000000e+006	0.00000000000000000000e+000	1.01007800000000000000e+006	6.38495432209999986065e-004	0.00000000000000000000e+000	-3.15877437589999976453e-001	0.00000000000000000000e+000	6.06905339679823796484e-004	0.00000000000000000000e+000	-1.98348999546638592693e-004	0.00000000000000000000e+000	2.70063299992948304862e+003	1.00000000000000000000e+000	3.50000000000000000000e+001
1.01009337500000000000e+006	0.00000000000000000000e+000	1.01007900000000000000e+006	6.38543744570000044482e-004	0.00000000000000000000e+000	-3.14917802809999980429e-001	0.00000000000000000000e+000	6.07141339247055096366e-004	0.00000000000000000000e+000	-1.97781465023317605274e-004	0.00000000000000000000e+000	2.70090399992943275720e+003	1.00000000000000000000e+000	3.50000000000000000000e+001
1.01009418750000000000e+006	0.00000000000000000000e+000	1.01008000000000000000e+006	6.38540135700000005894e-004	0.00000000000000000000e+000	-3.17468881609999975524e-001	0.00000000000000000000e+000	6.06631379524458030049e-004	0.00000000000000000000e+000	-1.99328558606205182924e-004	0.00000000000000000000e+000	2.70117099992942530662e+003	1.00000000000000000000e+000	3.50000000000000000000e+001
1.01009531250000000000e+006	0.00000000000000000000e+000	1.01008100000000000000e+006	6.38586992859999959260e-004	0.00000000000000000000e+000	-3.20226579899999974632e-001	0.00000000000000000000e+000	6.06123860646979543271e-004	0.00000000000000000000e+000	-2.01015454640628447522e-004	0.00000000000000000000e+000	2.70144099992944393307e+003	1.00000000000000000000e+000	3.50000000000000000000e+001
1.01009612500000000000e+006	0.00000000000000000000e+000	1.01008200000000000000e+006	6.38596189670000038800e-004	0.00000000000000000000e+000	-3.21724086999999991932e-001	0.00000000000000000000e+000	6.05830884001377651532e-004	0.00000000000000000000e+000	-2.01925811750632792224e-004	0.00000000000000000000e+000	2.70171499992941971868e+003	1.00000000000000000000e+000	3.50000000000000000000e+001
1.01009725000000000000e+006	0.00000000000000000000e+000	1.01008300000000000000e+006	6.38610275930000053334e-004	0.00000000000000000000e+000	-3.22530061009999979849e-001	0.00000000000000000000e+000	6.05681300213951846409e-004	0.00000000000000000000e+000	-2.02418494941859224536e-004	0.00000000000000000000e+000	2.70198199992941226810e+003	1.00000000000000000000e+000	3.50000000000000000000e+001
