Fext	FextSD	Fgen	R	RSD	Theta	ThetaSD	X	XSD	Y	YSD	Time	Interval	Round
8.71009921880000038072e+004	0.00000000000000000000e+000	8.71000000000000000000e+004	1.98323381479999992201e-004	0.00000000000000000000e+000	1.09224990840000003800e+002	0.00000000000000000000e+000	-1.47686004377730500155e-004	0.00000000000000000000e+000	1.32366943579590790655e-004	0.00000000000000000000e+000	9.05999889364466071129e-001	1	1
8.71018125000000000000e+004	0.00000000000000000000e+000	8.71010000000000000000e+004	1.98753594299999999028e-004	0.00000000000000000000e+000	1.09244499210000000744e+002	0.00000000000000000000e+000	-1.50565909871747788916e-004	0.00000000000000000000e+000	1.29741658813434772171e-004	0.00000000000000000000e+000	1.14899988938122987747e+000	1	1
8.71036640619999961928e+004	0.00000000000000000000e+000	8.71020000000000000000e+004	1.99078538570000005727e-004	0.00000000000000000000e+000	1.09198059079999993060e+002	0.00000000000000000000e+000	-1.44616572579117717411e-004	0.00000000000000000000e+000	1.36814880238356211982e-004	0.00000000000000000000e+000	1.38899988937191665173e+000	1	1
8.71044843750000000000e+004	0.00000000000000000000e+000	8.71030000000000000000e+004	1.99431262440000011240e-004	0.00000000000000000000e+000	1.09196594239999996034e+002	0.00000000000000000000e+000	-1.44671879336557071679e-004	0.00000000000000000000e+000	1.37269354801575546718e-004	0.00000000000000000000e+000	1.63199988938868045807e+000	1	1
8.71049218750000000000e+004	0.00000000000000000000e+000	8.71040000000000000000e+004	1.99641377549999993321e-004	0.00000000000000000000e+000	1.09179382320000001982e+002	0.00000000000000000000e+000	-1.42437808316698275631e-004	0.00000000000000000000e+000	1.39886205152606689882e-004	0.00000000000000000000e+000	1.87199988937936723232e+000	1	1
8.71065000000000000000e+004	0.00000000000000000000e+000	8.71050000000000000000e+004	1.99946051000000012653e-004	0.00000000000000000000e+000	1.09155456540000002974e+002	0.00000000000000000000e+000	-1.39262679687005187660e-004	0.00000000000000000000e+000	1.43472399286027131908e-004	0.00000000000000000000e+000	2.11399988934863358736e+000	1	1
8.71075000000000000000e+004	0.00000000000000000000e+000	8.71060000000000000000e+004	2.00344074979999996981e-004	0.00000000000000000000e+000	1.09151885989999996696e+002	0.00000000000000000000e+000	-1.39025720363783385778e-004	0.00000000000000000000e+000	1.44255320376487228143e-004	0.00000000000000000000e+000	2.34999988938216120005e+000	1	1
8.71081562500000000000e+004	0.00000000000000000000e+000	8.71070000000000000000e+004	2.00677008250000010964e-004	0.00000000000000000000e+000	1.09140304569999997852e+002	0.00000000000000000000e+000	-1.37573994843211871216e-004	0.00000000000000000000e+000	1.46098109443792891632e-004	0.00000000000000000000e+000	2.58999988937284797430e+000	1	1
8.71091953119999961928e+004	0.00000000000000000000e+000	8.71080000000000000000e+004	2.01034607019999993346e-004	0.00000000000000000000e+000	1.09116798399999993308e+002	0.00000000000000000000e+000	-1.34341063095097133437e-004	0.00000000000000000000e+000	1.49557320068811628591e-004	0.00000000000000000000e+000	2.83399988932069391012e+000	1	1
8.71102890619999961928e+004	0.00000000000000000000e+000	8.71090000000000000000e+004	2.01281727639999997136e-004	0.00000000000000000000e+000	1.09116653439999993225e+002	0.00000000000000000000e+000	-1.34484493172540872739e-004	0.00000000000000000000e+000	1.49760658979145586719e-004	0.00000000000000000000e+000	3.07299988938029855490e+000	1	1
