Fext	FextSD	Fgen	R	RSD	Theta	ThetaSD	X	XSD	Y	YSD	Time	Interval	Round
2.69674125000000000000e+006	0.00000000000000000000e+000	2.69670000000000000000e+006	3.63759580070000020438e-004	0.00000000000000000000e+000	-8.71418457030000013219e+001	0.00000000000000000000e+000	2.47432542815669812182e-004	0.00000000000000000000e+000	2.66642398819982287452e-004	0.00000000000000000000e+000	4.43599990848451852798e+000	1	1
2.69674625000000000000e+006	0.00000000000000000000e+000	2.69670500000000000000e+006	3.63856059270000007505e-004	0.00000000000000000000e+000	-8.71722640990000030570e+001	0.00000000000000000000e+000	2.55495409485314152291e-004	0.00000000000000000000e+000	2.59062400975952915241e-004	0.00000000000000000000e+000	4.67999990843236446381e+000	1	1
2.69675100000000000000e+006	0.00000000000000000000e+000	2.69671000000000000000e+006	3.63868690330000025407e-004	0.00000000000000000000e+000	-8.71435089109999978518e+001	0.00000000000000000000e+000	2.47950032852633465031e-004	0.00000000000000000000e+000	2.66310354681990229045e-004	0.00000000000000000000e+000	4.92199990840163081884e+000	1	1
2.69675575000000000000e+006	0.00000000000000000000e+000	2.69671500000000000000e+006	3.63771425329999990687e-004	0.00000000000000000000e+000	-8.71380310060000056183e+001	0.00000000000000000000e+000	2.46421609089277527001e-004	0.00000000000000000000e+000	2.67593050097477433511e-004	0.00000000000000000000e+000	5.16199990839231759310e+000	1	1
2.69676100000000000000e+006	0.00000000000000000000e+000	2.69672000000000000000e+006	3.63841973009999992972e-004	0.00000000000000000000e+000	-8.71720809939999980998e+001	0.00000000000000000000e+000	2.55438080213464860889e-004	0.00000000000000000000e+000	2.59099148012240803902e-004	0.00000000000000000000e+000	5.40699990850407630205e+000	1	1
2.69676625000000000000e+006	0.00000000000000000000e+000	2.69672500000000000000e+006	3.63843922969999994561e-004	0.00000000000000000000e+000	-8.71737594599999994216e+001	0.00000000000000000000e+000	2.55873980617039550097e-004	0.00000000000000000000e+000	2.58671425413380660398e-004	0.00000000000000000000e+000	5.64999990840442478657e+000	1	1
2.69677100000000000000e+006	0.00000000000000000000e+000	2.69673000000000000000e+006	3.63762752390000025302e-004	0.00000000000000000000e+000	-8.71330108639999991738e+001	0.00000000000000000000e+000	2.45069311475774474687e-004	0.00000000000000000000e+000	2.68820335166702569819e-004	0.00000000000000000000e+000	5.89299990842118859291e+000	1	1
2.69677650000000000000e+006	0.00000000000000000000e+000	2.69673500000000000000e+006	3.63799394109999996855e-004	0.00000000000000000000e+000	-8.71452331539999960341e+001	0.00000000000000000000e+000	2.48361540101494184581e-004	0.00000000000000000000e+000	2.65831797483327811251e-004	0.00000000000000000000e+000	6.13499990839045494795e+000	1	1
2.69678125000000000000e+006	0.00000000000000000000e+000	2.69674000000000000000e+006	3.63928556910000011379e-004	0.00000000000000000000e+000	-8.71717147829999987607e+001	0.00000000000000000000e+000	2.55403942443871770623e-004	0.00000000000000000000e+000	2.59254355255071015224e-004	0.00000000000000000000e+000	6.37899990845471620560e+000	1	1
2.69678625000000000000e+006	0.00000000000000000000e+000	2.69674500000000000000e+006	3.63873492459999988390e-004	0.00000000000000000000e+000	-8.71411056519999931425e+001	0.00000000000000000000e+000	2.47312568521768473898e-004	0.00000000000000000000e+000	2.66908995663696672288e-004	0.00000000000000000000e+000	6.62099990842398256063e+000	1	1
2.69679125000000000000e+006	0.00000000000000000000e+000	2.69675000000000000000e+006	3.63773957359999993138e-004	0.00000000000000000000e+000	-8.71303329469999994217e+001	0.00000000000000000000e+000	2.44356081724951990520e-004	0.00000000000000000000e+000	2.69483946418675737126e-004	0.00000000000000000000e+000	6.86499990848824381828e+000	1	1
2.69679600000000000000e+006	0.00000000000000000000e+000	2.69675500000000000000e+006	3.63858009219999978777e-004	0.00000000000000000000e+000	-8.71602783200000033048e+001	0.00000000000000000000e+000	2.52373419763071596238e-004	0.00000000000000000000e+000	2.62107435740831413735e-004	0.00000000000000000000e+000	7.10899990843608975410e+000	1	1
2.69680125000000000000e+006	0.00000000000000000000e+000	2.69676000000000000000e+006	3.63824336090000019506e-004	0.00000000000000000000e+000	-8.71528854369999947949e+001	0.00000000000000000000e+000	2.50405635281417246387e-004	0.00000000000000000000e+000	2.63941594582284679103e-004	0.00000000000000000000e+000	7.35199990845285356045e+000	1	1
2.69680625000000000000e+006	0.00000000000000000000e+000	2.69676500000000000000e+006	3.63901112000000010946e-004	0.00000000000000000000e+000	-8.71375656130000066923e+001	0.00000000000000000000e+000	2.46384852832512608878e-004	0.00000000000000000000e+000	2.67803143389949162810e-004	0.00000000000000000000e+000	7.59399990842211991549e+000	1	1
2.69681125000000000000e+006	0.00000000000000000000e+000	2.69677000000000000000e+006	3.63967556039999993577e-004	0.00000000000000000000e+000	-8.71676788329999965299e+001	0.00000000000000000000e+000	2.54382784668374863513e-004	0.00000000000000000000e+000	2.60310930838667897551e-004	0.00000000000000000000e+000	7.83899990841746330261e+000	1	1
2.69681600000000000000e+006	0.00000000000000000000e+000	2.69677500000000000000e+006	3.63886530979999991454e-004	0.00000000000000000000e+000	-8.71385803219999957037e+001	0.00000000000000000000e+000	2.46646585015129272186e-004	0.00000000000000000000e+000	2.67542276152822405214e-004	0.00000000000000000000e+000	8.08299990848172456026e+000	1	1
2.69682100000000000000e+006	0.00000000000000000000e+000	2.69678000000000000000e+006	3.63837927579999998763e-004	0.00000000000000000000e+000	-8.71369400020000028917e+001	0.00000000000000000000e+000	2.46174513148741101222e-004	0.00000000000000000000e+000	2.67910706433486199823e-004	0.00000000000000000000e+000	8.32299990847241133451e+000	1	1
2.69682625000000000000e+006	0.00000000000000000000e+000	2.69678500000000000000e+006	3.63884668329999985768e-004	0.00000000000000000000e+000	-8.71527404790000019830e+001	0.00000000000000000000e+000	2.50408890110476298110e-004	0.00000000000000000000e+000	2.64021665018750921819e-004	0.00000000000000000000e+000	8.56399990839418023825e+000	1	1
2.69683100000000000000e+006	0.00000000000000000000e+000	2.69679000000000000000e+006	3.63833562009999991402e-004	0.00000000000000000000e+000	-8.71427612300000049572e+001	0.00000000000000000000e+000	2.47726930209326700206e-004	0.00000000000000000000e+000	2.66469939944354472939e-004	0.00000000000000000000e+000	8.80499990843236446381e+000	1	1
2.69683625000000000000e+006	0.00000000000000000000e+000	2.69679500000000000000e+006	3.63865226969999977849e-004	0.00000000000000000000e+000	-8.71538848879999932251e+001	0.00000000000000000000e+000	2.50697480042876789247e-004	0.00000000000000000000e+000	2.63720831369235934969e-004	0.00000000000000000000e+000	9.04699990840163081884e+000	1	1
2.69684100000000000000e+006	0.00000000000000000000e+000	2.69680000000000000000e+006	3.63949191520000021795e-004	0.00000000000000000000e+000	-8.71668853759999961994e+001	0.00000000000000000000e+000	2.54163334250314450896e-004	0.00000000000000000000e+000	2.60499546124028026790e-004	0.00000000000000000000e+000	9.28999990841839462519e+000	1	1
2.69684625000000000000e+006	0.00000000000000000000e+000	2.69680500000000000000e+006	3.63952683979999985601e-004	0.00000000000000000000e+000	-8.71609191889999976866e+001	0.00000000000000000000e+000	2.52607054953797767471e-004	0.00000000000000000000e+000	2.62013801094168933235e-004	0.00000000000000000000e+000	9.52999990840908139944e+000	1	1
2.69685125000000000000e+006	0.00000000000000000000e+000	2.69681000000000000000e+006	3.63854807800000003455e-004	0.00000000000000000000e+000	-8.71412048340000069402e+001	0.00000000000000000000e+000	2.47326339179369889681e-004	0.00000000000000000000e+000	2.66870761057306962304e-004	0.00000000000000000000e+000	9.77299990842584520578e+000	1	1
2.69685625000000000000e+006	0.00000000000000000000e+000	2.69681500000000000000e+006	3.63900529919999979767e-004	0.00000000000000000000e+000	-8.71286392210000002478e+001	0.00000000000000000000e+000	2.43984162509307890869e-004	0.00000000000000000000e+000	2.69991340825383565119e-004	0.00000000000000000000e+000	1.00159999084426090121e+001	1	1
2.69686125000000000000e+006	0.00000000000000000000e+000	2.69682000000000000000e+006	3.64006758900000022567e-004	0.00000000000000000000e+000	-8.71799163820000018177e+001	0.00000000000000000000e+000	2.57576965855780312242e-004	0.00000000000000000000e+000	2.57206195853468754745e-004	0.00000000000000000000e+000	1.02579999084118753672e+001	1	1
2.69686650000000000000e+006	0.00000000000000000000e+000	2.69682500000000000000e+006	3.63907631249999982161e-004	0.00000000000000000000e+000	-8.71685562130000022307e+001	0.00000000000000000000e+000	2.54569158344693919054e-004	0.00000000000000000000e+000	2.60044818640287685348e-004	0.00000000000000000000e+000	1.04999999084975570440e+001	1	1
2.69687125000000000000e+006	0.00000000000000000000e+000	2.69683000000000000000e+006	3.63980681869999992545e-004	0.00000000000000000000e+000	-8.71706848139999976866e+001	0.00000000000000000000e+000	2.55173325943035397487e-004	0.00000000000000000000e+000	2.59554446122041166528e-004	0.00000000000000000000e+000	1.07389999084407463670e+001	1	1
