Fext	FextSD	Fgen	R	RSD	Theta	ThetaSD	Time
5.80002000000000000000e+005	0.00000000000000000000e+000	5.80000000000000000000e+005	1.22613999999999991904e-005	0.00000000000000000000e+000	2.09014999999999986358e+001	0.00000000000000000000e+000	7.45999921811744570732e-001
5.80003000000000000000e+005	0.00000000000000000000e+000	5.80002000000000000000e+005	1.22110000000000004861e-005	0.00000000000000000000e+000	2.09728999999999992099e+001	0.00000000000000000000e+000	9.99999921768903732300e-001
5.80005000000000000000e+005	0.00000000000000000000e+000	5.80004000000000000000e+005	1.22452999999999994631e-005	0.00000000000000000000e+000	2.08026000000000017565e+001	0.00000000000000000000e+000	1.25899992184713482857e+000
5.80008000000000000000e+005	0.00000000000000000000e+000	5.80006000000000000000e+005	1.23077000000000007630e-005	0.00000000000000000000e+000	2.04015999999999984027e+001	0.00000000000000000000e+000	1.51999992178753018379e+000
5.80009000000000000000e+005	0.00000000000000000000e+000	5.80008000000000000000e+005	1.23168000000000003879e-005	0.00000000000000000000e+000	2.10938000000000016598e+001	0.00000000000000000000e+000	1.78399992175400257111e+000
5.80012000000000000000e+005	0.00000000000000000000e+000	5.80010000000000000000e+005	1.23208000000000006884e-005	0.00000000000000000000e+000	2.10608000000000004093e+001	0.00000000000000000000e+000	2.04499992181081324816e+000
5.80013000000000000000e+005	0.00000000000000000000e+000	5.80012000000000000000e+005	1.23418999999999995208e-005	0.00000000000000000000e+000	2.10938000000000016598e+001	0.00000000000000000000e+000	2.30999992182478308678e+000
5.80015000000000000000e+005	0.00000000000000000000e+000	5.80014000000000000000e+005	1.22704000000000002901e-005	0.00000000000000000000e+000	2.07312000000000011823e+001	0.00000000000000000000e+000	2.56899992178659886122e+000
5.80017000000000000000e+005	0.00000000000000000000e+000	5.80016000000000000000e+005	1.23187999999999996912e-005	0.00000000000000000000e+000	2.07587000000000010402e+001	0.00000000000000000000e+000	2.82399992179125547409e+000
5.80019000000000000000e+005	0.00000000000000000000e+000	5.80018000000000000000e+005	1.23741999999999991946e-005	0.00000000000000000000e+000	2.07915999999999989711e+001	0.00000000000000000000e+000	3.08699992182664573193e+000
5.80021000000000000000e+005	0.00000000000000000000e+000	5.80020000000000000000e+005	1.23126999999999998681e-005	0.00000000000000000000e+000	2.06817999999999990735e+001	0.00000000000000000000e+000	3.34799992176704108715e+000
5.80023000000000000000e+005	0.00000000000000000000e+000	5.80022000000000000000e+005	1.23388999999999997189e-005	0.00000000000000000000e+000	2.06598000000000006082e+001	0.00000000000000000000e+000	3.60899992182385176420e+000
5.80026000000000000000e+005	0.00000000000000000000e+000	5.80024000000000000000e+005	1.20680000000000003306e-005	0.00000000000000000000e+000	1.96216000000000008185e+001	0.00000000000000000000e+000	3.86699992185458540916e+000
5.80027000000000000000e+005	0.00000000000000000000e+000	5.80026000000000000000e+005	1.23821999999999997956e-005	0.00000000000000000000e+000	2.06981999999999999318e+001	0.00000000000000000000e+000	4.12199992174282670021e+000
5.80030000000000000000e+005	0.00000000000000000000e+000	5.80028000000000000000e+005	1.24698000000000004477e-005	0.00000000000000000000e+000	2.03412000000000006139e+001	0.00000000000000000000e+000	4.38299992179963737726e+000
5.80031000000000000000e+005	0.00000000000000000000e+000	5.80030000000000000000e+005	1.24708999999999994716e-005	0.00000000000000000000e+000	2.05115000000000016200e+001	0.00000000000000000000e+000	4.63599992182571440935e+000
5.80033000000000000000e+005	0.00000000000000000000e+000	5.80032000000000000000e+005	1.25091000000000002239e-005	0.00000000000000000000e+000	2.03412000000000006139e+001	0.00000000000000000000e+000	4.89499992178753018379e+000
5.80034000000000000000e+005	0.00000000000000000000e+000	5.80034000000000000000e+005	1.25665000000000007247e-005	0.00000000000000000000e+000	2.04729999999999989768e+001	0.00000000000000000000e+000	5.14999992179218679667e+000
5.80037000000000000000e+005	0.00000000000000000000e+000	5.80036000000000000000e+005	1.25251999999999999512e-005	0.00000000000000000000e+000	2.05004999999999988347e+001	0.00000000000000000000e+000	5.41499992180615663528e+000
5.80039000000000000000e+005	0.00000000000000000000e+000	5.80038000000000000000e+005	1.25835999999999992565e-005	0.00000000000000000000e+000	2.02642999999999986471e+001	0.00000000000000000000e+000	5.67599992174655199051e+000
5.80042000000000000000e+005	0.00000000000000000000e+000	5.80040000000000000000e+005	1.26018000000000002003e-005	0.00000000000000000000e+000	2.02753000000000014325e+001	0.00000000000000000000e+000	5.92899992177262902260e+000
5.80044000000000000000e+005	0.00000000000000000000e+000	5.80042000000000000000e+005	1.26189000000000004262e-005	0.00000000000000000000e+000	2.01269999999999988916e+001	0.00000000000000000000e+000	6.18899992178194224834e+000
5.80046000000000000000e+005	0.00000000000000000000e+000	5.80044000000000000000e+005	1.25181999999999998488e-005	0.00000000000000000000e+000	2.04729999999999989768e+001	0.00000000000000000000e+000	6.45599992177449166775e+000
5.80048000000000000000e+005	0.00000000000000000000e+000	5.80046000000000000000e+005	1.26832999999999993353e-005	0.00000000000000000000e+000	2.03137000000000007560e+001	0.00000000000000000000e+000	6.71499992185272276402e+000
5.80049000000000000000e+005	0.00000000000000000000e+000	5.80048000000000000000e+005	1.26098000000000008014e-005	0.00000000000000000000e+000	2.02423000000000001819e+001	0.00000000000000000000e+000	6.97599992179311811924e+000
5.80050000000000000000e+005	0.00000000000000000000e+000	5.80050000000000000000e+005	1.27186000000000005051e-005	0.00000000000000000000e+000	2.00665000000000013358e+001	0.00000000000000000000e+000	7.23199992184527218342e+000
5.80053000000000000000e+005	0.00000000000000000000e+000	5.80052000000000000000e+005	1.26601999999999995057e-005	0.00000000000000000000e+000	2.01543999999999989825e+001	0.00000000000000000000e+000	7.49999992176890373230e+000
5.80055000000000000000e+005	0.00000000000000000000e+000	5.80054000000000000000e+005	1.26601999999999995057e-005	0.00000000000000000000e+000	2.00280999999999984595e+001	0.00000000000000000000e+000	7.76499992178287357092e+000
5.80057000000000000000e+005	0.00000000000000000000e+000	5.80056000000000000000e+005	1.27085000000000003815e-005	0.00000000000000000000e+000	1.97589000000000005741e+001	0.00000000000000000000e+000	8.02399992174468934536e+000
5.80060000000000000000e+005	0.00000000000000000000e+000	5.80058000000000000000e+005	1.28082000000000004603e-005	0.00000000000000000000e+000	1.99567000000000014381e+001	0.00000000000000000000e+000	8.28399992175400257111e+000
5.80061000000000000000e+005	0.00000000000000000000e+000	5.80060000000000000000e+005	1.27658999999999991882e-005	0.00000000000000000000e+000	1.98797999999999994714e+001	0.00000000000000000000e+000	8.54099992185365408659e+000
5.80064000000000000000e+005	0.00000000000000000000e+000	5.80062000000000000000e+005	1.28012000000000003580e-005	0.00000000000000000000e+000	1.95831000000000017280e+001	0.00000000000000000000e+000	8.80099992174655199051e+000
5.80065000000000000000e+005	0.00000000000000000000e+000	5.80064000000000000000e+005	1.27881000000000004326e-005	0.00000000000000000000e+000	1.97205000000000012506e+001	0.00000000000000000000e+000	9.06399992178194224834e+000
5.80068000000000000000e+005	0.00000000000000000000e+000	5.80066000000000000000e+005	1.29432000000000000148e-005	0.00000000000000000000e+000	1.96930000000000013927e+001	0.00000000000000000000e+000	9.31599992176052182913e+000
5.80070000000000000000e+005	0.00000000000000000000e+000	5.80068000000000000000e+005	1.29865000000000000916e-005	0.00000000000000000000e+000	1.96216000000000008185e+001	0.00000000000000000000e+000	9.57699992181733250618e+000
5.80071000000000000000e+005	0.00000000000000000000e+000	5.80070000000000000000e+005	1.29390999999999994951e-005	0.00000000000000000000e+000	1.91492000000000004434e+001	0.00000000000000000000e+000	9.84699992183595895767e+000
5.80073000000000000000e+005	0.00000000000000000000e+000	5.80072000000000000000e+005	1.29421999999999995162e-005	0.00000000000000000000e+000	1.91766000000000005343e+001	0.00000000000000000000e+000	1.01089999218238517642e+001
5.80075000000000000000e+005	0.00000000000000000000e+000	5.80074000000000000000e+005	1.30066000000000001193e-005	0.00000000000000000000e+000	1.95336999999999996191e+001	0.00000000000000000000e+000	1.03679999217856675386e+001
5.80077000000000000000e+005	0.00000000000000000000e+000	5.80076000000000000000e+005	1.30298000000000001683e-005	0.00000000000000000000e+000	1.87975999999999991985e+001	0.00000000000000000000e+000	1.06239999218378216028e+001
5.80078000000000000000e+005	0.00000000000000000000e+000	5.80078000000000000000e+005	1.30368000000000002706e-005	0.00000000000000000000e+000	1.87975999999999991985e+001	0.00000000000000000000e+000	1.08759999218164011836e+001
5.80081000000000000000e+005	0.00000000000000000000e+000	5.80080000000000000000e+005	1.31003000000000005944e-005	0.00000000000000000000e+000	1.89788999999999994373e+001	0.00000000000000000000e+000	1.11369999217567965388e+001
5.80083000000000000000e+005	0.00000000000000000000e+000	5.80082000000000000000e+005	1.30771000000000005455e-005	0.00000000000000000000e+000	1.87591999999999998749e+001	0.00000000000000000000e+000	1.13889999218517914414e+001
5.80084000000000000000e+005	0.00000000000000000000e+000	5.80084000000000000000e+005	1.31758000000000001257e-005	0.00000000000000000000e+000	1.86876999999999995339e+001	0.00000000000000000000e+000	1.16529999218182638288e+001
5.80088000000000000000e+005	0.00000000000000000000e+000	5.80086000000000000000e+005	1.31003000000000005944e-005	0.00000000000000000000e+000	1.92974999999999994316e+001	0.00000000000000000000e+000	1.19129999218275770545e+001
5.80089000000000000000e+005	0.00000000000000000000e+000	5.80088000000000000000e+005	1.32382999999999999508e-005	0.00000000000000000000e+000	1.83307000000000002160e+001	0.00000000000000000000e+000	1.21719999217893928289e+001
5.80091000000000000000e+005	0.00000000000000000000e+000	5.80090000000000000000e+005	1.32594000000000004772e-005	0.00000000000000000000e+000	1.79901000000000017565e+001	0.00000000000000000000e+000	1.24329999218462035060e+001
5.80093000000000000000e+005	0.00000000000000000000e+000	5.80092000000000000000e+005	1.33298999999999992093e-005	0.00000000000000000000e+000	1.78638000000000012335e+001	0.00000000000000000000e+000	1.26949999218340963125e+001
