Time	Fext	Fgen	ThetaPeak
3.26679999828338623047e+001	1.81868837500000000000e+006	1.81866125000000000000e+006	-6.27463951109999982236e+001
4.15169999599456787109e+001	1.81863987500000000000e+006	1.81861270629999996163e+006	-6.27113304140000025200e+001
4.87219998836517333984e+001	1.81859250000000000000e+006	1.81856557649999996647e+006	-6.27634925839999979758e+001
5.65839998722076416016e+001	1.81854325000000000000e+006	1.81851581939999992028e+006	-6.28016853330000017763e+001
6.46989998817443847656e+001	1.81849475000000000000e+006	1.81846751150000002235e+006	-6.27831153870000022721e+001
7.25779998302459716797e+001	1.81844800000000000000e+006	1.81842061060000001453e+006	-6.28044548029999987193e+001
8.11549999713897705078e+001	1.81839825000000000000e+006	1.81837107569999992847e+006	-6.27597846979999971495e+001
9.05579998493194580078e+001	1.81835025000000000000e+006	1.81832298359999991953e+006	-6.27020111080000006609e+001
1.01809000015258789062e+002	1.81830362500000000000e+006	1.81827629220000002533e+006	-6.26479530330000002891e+001
1.15265999794006347656e+002	1.81825512500000000000e+006	1.81822796069999993779e+006	-6.26035995479999982649e+001
1.28658999919891357422e+002	1.81820837500000000000e+006	1.81818103689999994822e+006	-6.25801315309999992564e+001
1.43928999900817871094e+002	1.81816300000000000000e+006	1.81813547979999985546e+006	-6.24387931819999977279e+001
1.63019999980926513672e+002	1.81811875000000000000e+006	1.81809124959999974817e+006	-6.24676971439999988434e+001
1.85003999948501586914e+002	1.81807562500000000000e+006	1.81804830769999977201e+006	-6.23372192380000029743e+001
2.11542999982833862305e+002	1.81803375000000000000e+006	1.81800661649999977089e+006	-6.22171058650000006196e+001
2.48883999824523925781e+002	1.81799350000000000000e+006	1.81796613959999987856e+006	-6.21620140079999998761e+001
2.93582999944686889648e+002	1.81795400000000000000e+006	1.81792684159999992698e+006	-6.21538543699999976866e+001
3.66996999979019165039e+002	1.81792100000000000000e+006	1.81789368819999997504e+006	-6.22708473209999979758e+001
3.95358999967575073242e+002	1.81788850000000000000e+006	1.81786150040000001900e+006	-6.11805000310000011154e+001
