TimeAll	TimeExperiment	R	Theta
5.049800e+001	7.900000e-002	6.701657e-005	-6.032840e+001
5.059100e+001	1.719999e-001	6.700708e-005	-6.031090e+001
5.071900e+001	3.000000e-001	6.693816e-005	-6.039255e+001
5.082800e+001	4.089999e-001	6.700905e-005	-6.037436e+001
5.093700e+001	5.179999e-001	6.701198e-005	-6.046956e+001
5.103100e+001	6.120000e-001	6.687806e-005	-6.056912e+001
5.114000e+001	7.210000e-001	6.694315e-005	-6.069943e+001
5.123400e+001	8.150001e-001	6.693379e-005	-6.068342e+001
5.132700e+001	9.080000e-001	6.694785e-005	-6.066440e+001
5.142100e+001	1.002000e+000	6.692760e-005	-6.066808e+001
5.151400e+001	1.095000e+000	6.683550e-005	-6.075149e+001
5.160800e+001	1.189000e+000	6.691505e-005	-6.089518e+001
5.170200e+001	1.283000e+000	6.681844e-005	-6.091206e+001
5.181100e+001	1.392000e+000	6.675693e-005	-6.092498e+001
5.190400e+001	1.485000e+000	6.672681e-005	-6.099698e+001
5.199800e+001	1.579000e+000	6.677907e-005	-6.103979e+001
5.210700e+001	1.688000e+000	6.670635e-005	-6.104482e+001
5.220100e+001	1.782000e+000	6.672088e-005	-6.109551e+001
5.229400e+001	1.875000e+000	6.672485e-005	-6.115693e+001
5.240400e+001	1.985000e+000	6.670823e-005	-6.115631e+001
5.251300e+001	2.094000e+000	6.673903e-005	-6.122194e+001
5.260600e+001	2.187000e+000	6.661739e-005	-6.120322e+001
5.270000e+001	2.281000e+000	6.658867e-005	-6.141659e+001
5.279400e+001	2.375000e+000	6.642358e-005	-6.133198e+001
5.288700e+001	2.468000e+000	6.660873e-005	-6.141484e+001
5.298100e+001	2.562000e+000	6.646987e-005	-6.149009e+001
5.307400e+001	2.655000e+000	6.638854e-005	-6.154593e+001
5.316800e+001	2.749000e+000	6.643534e-005	-6.142108e+001
5.326200e+001	2.843000e+000	6.631817e-005	-6.162267e+001
5.337100e+001	2.952000e+000	6.640421e-005	-6.173257e+001
5.348000e+001	3.061000e+000	6.627266e-005	-6.171633e+001
5.358900e+001	3.170000e+000	6.619498e-005	-6.172349e+001
5.368300e+001	3.264000e+000	6.620886e-005	-6.178252e+001
5.377600e+001	3.357000e+000	6.613703e-005	-6.180905e+001
5.387000e+001	3.451000e+000	6.606366e-005	-6.192972e+001
5.396400e+001	3.545000e+000	6.609305e-005	-6.197033e+001
5.407300e+001	3.654000e+000	6.597603e-005	-6.207564e+001
5.418200e+001	3.763000e+000	6.596064e-005	-6.209149e+001
5.427600e+001	3.857000e+000	6.587633e-005	-6.211410e+001
5.436900e+001	3.950000e+000	6.577739e-005	-6.215730e+001
5.447800e+001	4.059000e+000	6.570751e-005	-6.220279e+001
5.458800e+001	4.169000e+000	6.571315e-005	-6.228458e+001
5.468100e+001	4.262000e+000	6.560045e-005	-6.223043e+001
5.477500e+001	4.356000e+000	6.556670e-005	-6.239706e+001
5.486800e+001	4.449000e+000	6.548724e-005	-6.238133e+001
5.496200e+001	4.543000e+000	6.532673e-005	-6.234224e+001
5.505600e+001	4.637000e+000	6.537258e-005	-6.240146e+001
5.516500e+001	4.746000e+000	6.526905e-005	-6.237064e+001
5.527400e+001	4.855000e+000	6.512843e-005	-6.245680e+001
5.536800e+001	4.949000e+000	6.498992e-005	-6.256972e+001
5.546100e+001	5.042000e+000	6.508516e-005	-6.257555e+001
5.557000e+001	5.151000e+000	6.487382e-005	-6.259316e+001
5.566400e+001	5.245000e+000	6.488644e-005	-6.255526e+001
5.577300e+001	5.354000e+000	6.471732e-005	-6.258933e+001
5.588200e+001	5.463000e+000	6.469437e-005	-6.261553e+001
5.597600e+001	5.557000e+000	6.452033e-005	-6.249784e+001
5.607000e+001	5.651000e+000	6.445716e-005	-6.270260e+001
5.617900e+001	5.760000e+000	6.441597e-005	-6.265755e+001
5.628800e+001	5.869000e+000	6.420357e-005	-6.268999e+001
5.638200e+001	5.963000e+000	6.425439e-005	-6.263496e+001
5.647500e+001	6.056000e+000	6.405974e-005	-6.263431e+001
5.658400e+001	6.165000e+000	6.399470e-005	-6.280169e+001
5.667800e+001	6.259000e+000	6.386822e-005	-6.257493e+001
5.677200e+001	6.353000e+000	6.385419e-005	-6.270292e+001
5.688100e+001	6.462000e+000	6.370414e-005	-6.261940e+001
5.699000e+001	6.571000e+000	6.362313e-005	-6.256977e+001
5.709900e+001	6.680000e+000	6.344942e-005	-6.266470e+001
5.720800e+001	6.789000e+000	6.323413e-005	-6.264411e+001
5.730200e+001	6.883000e+000	6.340125e-005	-6.252930e+001
5.741100e+001	6.992000e+000	6.329585e-005	-6.260648e+001
5.752000e+001	7.101000e+000	6.322213e-005	-6.249329e+001
5.763000e+001	7.211000e+000	6.302023e-005	-6.247335e+001
5.772300e+001	7.304000e+000	6.301576e-005	-6.248587e+001
5.783200e+001	7.413000e+000	6.290235e-005	-6.245473e+001
5.794200e+001	7.523000e+000	6.288328e-005	-6.240073e+001
5.805100e+001	7.632000e+000	6.273174e-005	-6.240311e+001
5.816000e+001	7.741000e+000	6.259539e-005	-6.232431e+001
5.826900e+001	7.850000e+000	6.255330e-005	-6.229929e+001
5.837800e+001	7.959000e+000	6.241183e-005	-6.224169e+001
5.848800e+001	8.069000e+000	6.239430e-005	-6.219450e+001
5.855400e+001	8.135000e+000	6.247772e-005	-6.211771e+001
