Fext	FextSD	Fgen	R	RSD	Theta	ThetaSD	X	XSD	Y	YSD	Time	Interval	Round
1.81860337500000000000e+006	0.00000000000000000000e+000	1.81820000000000000000e+006	6.61639278410000049703e-005	0.00000000000000000000e+000	-5.83619346620000030157e+001	0.00000000000000000000e+000	-1.58860687468737671660e-005	0.00000000000000000000e+000	-6.42284840792514379526e-005	0.00000000000000000000e+000	4.17299993510823696852e+000	1	1
1.81822737500000000000e+006	0.00000000000000000000e+000	1.81820200000000000000e+006	6.47735068919999974193e-005	0.00000000000000000000e+000	-5.76235847470000024373e+001	0.00000000000000000000e+000	3.08195754873582519404e-005	0.00000000000000000000e+000	-5.69715802998916088519e-005	0.00000000000000000000e+000	4.31699993519578129053e+000	1	1
1.81822912500000000000e+006	0.00000000000000000000e+000	1.81820400000000000000e+006	6.48507193549999964421e-005	0.00000000000000000000e+000	-5.76446037290000035114e+001	0.00000000000000000000e+000	2.96506739216609206276e-005	0.00000000000000000000e+000	-5.76754136253248539368e-005	0.00000000000000000000e+000	4.45899993518833070993e+000	1	1
1.81823125000000000000e+006	0.00000000000000000000e+000	1.81820600000000000000e+006	6.49601788610000005020e-005	0.00000000000000000000e+000	-5.76702690119999985541e+001	0.00000000000000000000e+000	2.82083473611423980396e-005	0.00000000000000000000e+000	-5.85159292569659362148e-005	0.00000000000000000000e+000	4.60199993511196225882e+000	1	1
1.81823287500000000000e+006	0.00000000000000000000e+000	1.81820800000000000000e+006	6.48848217679999993927e-005	0.00000000000000000000e+000	-5.76667861939999966125e+001	0.00000000000000000000e+000	2.83790168676811042578e-005	0.00000000000000000000e+000	-5.83495629588516950370e-005	0.00000000000000000000e+000	4.74599993519950658083e+000	1	1
1.81823537500000000000e+006	0.00000000000000000000e+000	1.81821000000000000000e+006	6.48960412949999953646e-005	0.00000000000000000000e+000	-5.77077369690000026026e+001	0.00000000000000000000e+000	2.59709228033480149728e-005	0.00000000000000000000e+000	-5.94727445516421646403e-005	0.00000000000000000000e+000	4.88799993519205600023e+000	1	1
1.81823725000000000000e+006	0.00000000000000000000e+000	1.81821200000000000000e+006	6.48689092490000015958e-005	0.00000000000000000000e+000	-5.77273826600000035114e+001	0.00000000000000000000e+000	2.47872356774843759643e-005	0.00000000000000000000e+000	-5.99463788282815612644e-005	0.00000000000000000000e+000	5.02999993518460541964e+000	1	1
1.81823937500000000000e+006	0.00000000000000000000e+000	1.81821400000000000000e+006	6.48743007330000016029e-005	0.00000000000000000000e+000	-5.76235961909999971908e+001	0.00000000000000000000e+000	3.08668807280579332456e-005	0.00000000000000000000e+000	-5.70605868329056935251e-005	0.00000000000000000000e+000	5.17099993512965738773e+000	1	1
1.81824112500000000000e+006	0.00000000000000000000e+000	1.81821600000000000000e+006	6.49814173809999944421e-005	0.00000000000000000000e+000	-5.76544685360000030983e+001	0.00000000000000000000e+000	2.91388910739234301649e-005	0.00000000000000000000e+000	-5.80819217297925973983e-005	0.00000000000000000000e+000	5.31399993516970425844e+000	1	1
1.81824312500000000000e+006	0.00000000000000000000e+000	1.81821800000000000000e+006	6.47955239400000067036e-005	0.00000000000000000000e+000	-5.77107849120000011567e+001	0.00000000000000000000e+000	2.57495875557795496033e-005	0.00000000000000000000e+000	-5.94593866716295444373e-005	0.00000000000000000000e+000	5.45499993511475622654e+000	1	1
1.81824525000000000000e+006	0.00000000000000000000e+000	1.81822000000000000000e+006	6.48239802099999997157e-005	0.00000000000000000000e+000	-5.76490898130000033461e+001	0.00000000000000000000e+000	2.93795209666690396882e-005	0.00000000000000000000e+000	-5.77840129969832243251e-005	0.00000000000000000000e+000	5.59999993513338267803e+000	1	1
1.81824725000000000000e+006	0.00000000000000000000e+000	1.81822200000000000000e+006	6.50061483610000063983e-005	0.00000000000000000000e+000	-5.78155555729999974801e+001	0.00000000000000000000e+000	1.94532127686782168349e-005	0.00000000000000000000e+000	-6.20271862791540697568e-005	0.00000000000000000000e+000	5.74399993510451167822e+000	1	1
1.81824887500000000000e+006	0.00000000000000000000e+000	1.81822400000000000000e+006	6.48367422399999995255e-005	0.00000000000000000000e+000	-5.76819763179999966951e+001	0.00000000000000000000e+000	2.74690702118233657592e-005	0.00000000000000000000e+000	-5.87303441671689684198e-005	0.00000000000000000000e+000	5.88299993518739938736e+000	1	1
1.81825112500000000000e+006	0.00000000000000000000e+000	1.81822600000000000000e+006	6.49409121249999992265e-005	0.00000000000000000000e+000	-5.76862144469999975627e+001	0.00000000000000000000e+000	2.72636503387519768050e-005	0.00000000000000000000e+000	-5.89407790738571859927e-005	0.00000000000000000000e+000	6.02299993520136922598e+000	1	1
1.81825325000000000000e+006	0.00000000000000000000e+000	1.81822800000000000000e+006	6.48956192889999991524e-005	0.00000000000000000000e+000	-5.76905822749999970256e+001	0.00000000000000000000e+000	2.69871126917933639984e-005	0.00000000000000000000e+000	-5.90181086740609981041e-005	0.00000000000000000000e+000	6.16599993512500077486e+000	1	1
1.81825500000000000000e+006	0.00000000000000000000e+000	1.81823000000000000000e+006	6.49402645650000058053e-005	0.00000000000000000000e+000	-5.76481323240000023134e+001	0.00000000000000000000e+000	2.94876366620993262237e-005	0.00000000000000000000e+000	-5.78594611611291434992e-005	0.00000000000000000000e+000	6.30799993511755019426e+000	1	1
1.81825725000000000000e+006	0.00000000000000000000e+000	1.81823200000000000000e+006	6.49118665019999966162e-005	0.00000000000000000000e+000	-5.76567153929999989259e+001	0.00000000000000000000e+000	2.89772676929457322548e-005	0.00000000000000000000e+000	-5.80850098547364696445e-005	0.00000000000000000000e+000	6.44999993511009961367e+000	1	1
1.81825925000000000000e+006	0.00000000000000000000e+000	1.81823400000000000000e+006	6.49334615449999964570e-005	0.00000000000000000000e+000	-5.76655769349999971496e+001	0.00000000000000000000e+000	2.84708825494467079485e-005	0.00000000000000000000e+000	-5.83589176996250039338e-005	0.00000000000000000000e+000	6.58999993512406945229e+000	1	1
1.81826087500000000000e+006	0.00000000000000000000e+000	1.81823600000000000000e+006	6.48943023410000063974e-005	0.00000000000000000000e+000	-5.76895027159999997934e+001	0.00000000000000000000e+000	2.70502615328345364808e-005	0.00000000000000000000e+000	-5.89877430262454669884e-005	0.00000000000000000000e+000	6.73299993516411632299e+000	1	1
1.81826312500000000000e+006	0.00000000000000000000e+000	1.81823800000000000000e+006	6.49230714770000067165e-005	0.00000000000000000000e+000	-5.77314109799999997108e+001	0.00000000000000000000e+000	2.45660463013885738939e-005	0.00000000000000000000e+000	-6.00958782207705537290e-005	0.00000000000000000000e+000	6.87699993513524532318e+000	1	1
1.81826487500000000000e+006	0.00000000000000000000e+000	1.81824000000000000000e+006	6.48574496149999951168e-005	0.00000000000000000000e+000	-5.78179512020000032635e+001	0.00000000000000000000e+000	1.92604046124114755469e-005	0.00000000000000000000e+000	-6.19316202333546392657e-005	0.00000000000000000000e+000	7.01999993517529219389e+000	1	1
1.81826712500000000000e+006	0.00000000000000000000e+000	1.81824200000000000000e+006	6.49613284619999934236e-005	0.00000000000000000000e+000	-5.77494659420000004957e+001	0.00000000000000000000e+000	2.34909067714389044660e-005	0.00000000000000000000e+000	-6.05652664041314754435e-005	0.00000000000000000000e+000	7.16099993512034416199e+000	1	1
1.81826937500000000000e+006	0.00000000000000000000e+000	1.81824400000000000000e+006	6.48684290349999941342e-005	0.00000000000000000000e+000	-5.76877975459999987606e+001	0.00000000000000000000e+000	2.71399812835754624893e-005	0.00000000000000000000e+000	-5.89180320563747605012e-005	0.00000000000000000000e+000	7.30799993511755019426e+000	1	1
1.81827137500000000000e+006	0.00000000000000000000e+000	1.81824600000000000000e+006	6.50888323429999951638e-005	0.00000000000000000000e+000	-5.77781257629999984715e+001	0.00000000000000000000e+000	2.17883895442005822958e-005	0.00000000000000000000e+000	-6.13336952811856293919e-005	0.00000000000000000000e+000	7.45199993520509451628e+000	1	1
1.81827287500000000000e+006	0.00000000000000000000e+000	1.81824800000000000000e+006	6.48190834910000062731e-005	0.00000000000000000000e+000	-5.77702217100000012806e+001	0.00000000000000000000e+000	2.21801843868484861928e-005	0.00000000000000000000e+000	-6.09060999012301878641e-005	0.00000000000000000000e+000	7.59399993519764393568e+000	1	1
1.81827525000000000000e+006	0.00000000000000000000e+000	1.81825000000000000000e+006	6.48017012280000014382e-005	0.00000000000000000000e+000	-5.76236724850000001652e+001	0.00000000000000000000e+000	3.08279896338774383091e-005	0.00000000000000000000e+000	-5.69990836520774398714e-005	0.00000000000000000000e+000	7.73699993512127548456e+000	1	1
1.81827737500000000000e+006	0.00000000000000000000e+000	1.81825200000000000000e+006	6.48142813590000019903e-005	0.00000000000000000000e+000	-5.76964569089999983476e+001	0.00000000000000000000e+000	2.66065496384202359020e-005	0.00000000000000000000e+000	-5.91014600870561833098e-005	0.00000000000000000000e+000	7.87799993518274277449e+000	1	1
1.81827937500000000000e+006	0.00000000000000000000e+000	1.81825400000000000000e+006	6.48748609819999988001e-005	0.00000000000000000000e+000	-5.77059097289999982650e+001	0.00000000000000000000e+000	2.60710387046943956296e-005	0.00000000000000000000e+000	-5.94057954099779048779e-005	0.00000000000000000000e+000	8.02199993515387177467e+000	1	1
1.81828137500000000000e+006	0.00000000000000000000e+000	1.81825600000000000000e+006	6.48471686869999942816e-005	0.00000000000000000000e+000	-5.76764030459999972322e+001	0.00000000000000000000e+000	2.78004319780802339245e-005	0.00000000000000000000e+000	-5.85857599468707609448e-005	0.00000000000000000000e+000	8.16399993514642119408e+000	1	1
1.81828300000000000000e+006	0.00000000000000000000e+000	1.81825800000000000000e+006	6.49832145429999946586e-005	0.00000000000000000000e+000	-5.77848472599999993804e+001	0.00000000000000000000e+000	2.13409605636296026442e-005	0.00000000000000000000e+000	-6.13789994587983777112e-005	0.00000000000000000000e+000	8.30599993513897061348e+000	1	1
1.81828500000000000000e+006	0.00000000000000000000e+000	1.81826000000000000000e+006	6.48804707450000034017e-005	0.00000000000000000000e+000	-5.77445220950000006610e+001	0.00000000000000000000e+000	2.37604322886193731427e-005	0.00000000000000000000e+000	-6.03731508333856572426e-005	0.00000000000000000000e+000	8.44699993520043790340e+000	1	1
1.81828750000000000000e+006	0.00000000000000000000e+000	1.81826200000000000000e+006	6.48980712869999992786e-005	0.00000000000000000000e+000	-5.76208724979999971083e+001	0.00000000000000000000e+000	3.10335483829922201249e-005	0.00000000000000000000e+000	-5.69971800314104573961e-005	0.00000000000000000000e+000	8.58599993516691029072e+000	1	1
1.81828887500000000000e+006	0.00000000000000000000e+000	1.81826400000000000000e+006	6.50078945910000018538e-005	0.00000000000000000000e+000	-5.77196502689999988434e+001	0.00000000000000000000e+000	2.53041184966788290157e-005	0.00000000000000000000e+000	-5.98809481075625888043e-005	0.00000000000000000000e+000	8.72899993520695716143e+000	1	1
1.81829125000000000000e+006	0.00000000000000000000e+000	1.81826600000000000000e+006	6.50471629339999940500e-005	0.00000000000000000000e+000	-5.77129211430000026439e+001	0.00000000000000000000e+000	2.57220171359703960628e-005	0.00000000000000000000e+000	-5.97453867693497131584e-005	0.00000000000000000000e+000	8.87199993513058871031e+000	1	1
1.81829300000000000000e+006	0.00000000000000000000e+000	1.81826800000000000000e+006	6.49227949910000047464e-005	0.00000000000000000000e+000	-5.77237281800000019416e+001	0.00000000000000000000e+000	2.50269147837127290844e-005	0.00000000000000000000e+000	-5.99051153563048881462e-005	0.00000000000000000000e+000	9.01199993514455854893e+000	1	1
1.81829512500000000000e+006	0.00000000000000000000e+000	1.81827000000000000000e+006	6.49980574960000028221e-005	0.00000000000000000000e+000	-5.76548118589999987194e+001	0.00000000000000000000e+000	2.91264051314750105804e-005	0.00000000000000000000e+000	-5.81067982457346242494e-005	0.00000000000000000000e+000	9.15099993511103093624e+000	1	1
1.81829700000000000000e+006	0.00000000000000000000e+000	1.81827200000000000000e+006	6.50757501719999954326e-005	0.00000000000000000000e+000	-5.76234664919999985955e+001	0.00000000000000000000e+000	3.09701528251309578959e-005	0.00000000000000000000e+000	-5.72337565990263356930e-005	0.00000000000000000000e+000	9.29399993515107780695e+000	1	1
1.81829912500000000000e+006	0.00000000000000000000e+000	1.81827400000000000000e+006	6.50703295829999962558e-005	0.00000000000000000000e+000	-5.77272033690000014872e+001	0.00000000000000000000e+000	2.48749817691398782810e-005	0.00000000000000000000e+000	-6.01280556315036940861e-005	0.00000000000000000000e+000	9.43299993511755019426e+000	1	1
1.81830125000000000000e+006	0.00000000000000000000e+000	1.81827600000000000000e+006	6.50019501339999975853e-005	0.00000000000000000000e+000	-5.77263679499999966538e+001	0.00000000000000000000e+000	2.48990124387889277347e-005	0.00000000000000000000e+000	-6.00440896408302300061e-005	0.00000000000000000000e+000	9.57399993517901748419e+000	1	1
1.81830337500000000000e+006	0.00000000000000000000e+000	1.81827800000000000000e+006	6.48846980769999978319e-005	0.00000000000000000000e+000	-5.77280006410000012806e+001	0.00000000000000000000e+000	2.47562093177402865231e-005	0.00000000000000000000e+000	-5.99762798509517142749e-005	0.00000000000000000000e+000	9.71499993512406945229e+000	1	1
1.81830525000000000000e+006	0.00000000000000000000e+000	1.81828000000000000000e+006	6.49929061179999994482e-005	0.00000000000000000000e+000	-5.77212829589999998348e+001	0.00000000000000000000e+000	2.52005061219980674232e-005	0.00000000000000000000e+000	-5.99083661674920011221e-005	0.00000000000000000000e+000	9.85799993516411632299e+000	1	1
1.81830737500000000000e+006	0.00000000000000000000e+000	1.81828200000000000000e+006	6.49637295280000023412e-005	0.00000000000000000000e+000	-5.76888885500000014872e+001	0.00000000000000000000e+000	2.71154631780769036955e-005	0.00000000000000000000e+000	-5.90342088184934933766e-005	0.00000000000000000000e+000	1.00049999351613223553e+001	1	1
1.81830925000000000000e+006	0.00000000000000000000e+000	1.81828400000000000000e+006	6.49035428070000028952e-005	0.00000000000000000000e+000	-5.77032737729999993803e+001	0.00000000000000000000e+000	2.62391344693809298253e-005	0.00000000000000000000e+000	-5.93631004176654148655e-005	0.00000000000000000000e+000	1.01459999351063743234e+001	1	1
1.81831137500000000000e+006	0.00000000000000000000e+000	1.81828600000000000000e+006	6.49557914579999991743e-005	0.00000000000000000000e+000	-5.77193832399999990912e+001	0.00000000000000000000e+000	2.52998137483443492869e-005	0.00000000000000000000e+000	-5.98262005164482393231e-005	0.00000000000000000000e+000	1.02879999350989237428e+001	1	1
1.81831312500000000000e+006	0.00000000000000000000e+000	1.81828800000000000000e+006	6.49904395690000002191e-005	0.00000000000000000000e+000	-5.77050819399999994630e+001	0.00000000000000000000e+000	2.61667399957047001175e-005	0.00000000000000000000e+000	-5.94899903628251473385e-005	0.00000000000000000000e+000	1.04299999352078884840e+001	1	1
1.81831512500000000000e+006	0.00000000000000000000e+000	1.81829000000000000000e+006	6.50823349130000001865e-005	0.00000000000000000000e+000	-5.76649780269999965299e+001	0.00000000000000000000e+000	2.85711845629066867698e-005	0.00000000000000000000e+000	-5.84756165457040832760e-005	0.00000000000000000000e+000	1.05709999351529404521e+001	1	1
1.81831750000000000000e+006	0.00000000000000000000e+000	1.81829200000000000000e+006	6.49918947599999939592e-005	0.00000000000000000000e+000	-5.78021240229999975213e+001	0.00000000000000000000e+000	2.02801065542184098540e-005	0.00000000000000000000e+000	-6.17467704632757404459e-005	0.00000000000000000000e+000	1.07159999351715669036e+001	1	1
1.81831925000000000000e+006	0.00000000000000000000e+000	1.81829400000000000000e+006	6.49639259790000010231e-005	0.00000000000000000000e+000	-5.76756057739999974388e+001	0.00000000000000000000e+000	2.78972706694702429677e-005	0.00000000000000000000e+000	-5.86690205116746919855e-005	0.00000000000000000000e+000	1.08559999351855367422e+001	1	1
1.81832125000000000000e+006	0.00000000000000000000e+000	1.81829600000000000000e+006	6.50500151099999980283e-005	0.00000000000000000000e+000	-5.76748466490000026852e+001	0.00000000000000000000e+000	2.79788277627090057665e-005	0.00000000000000000000e+000	-5.87255452323423861424e-005	0.00000000000000000000e+000	1.09999999351566657424e+001	1	1
1.81832325000000000000e+006	0.00000000000000000000e+000	1.81829800000000000000e+006	6.50168440189999969573e-005	0.00000000000000000000e+000	-5.76759643549999978518e+001	0.00000000000000000000e+000	2.78989385829052878650e-005	0.00000000000000000000e+000	-5.87268186788476954170e-005	0.00000000000000000000e+000	1.11429999351967126131e+001	1	1
1.81832537500000000000e+006	0.00000000000000000000e+000	1.81830000000000000000e+006	6.49538706059999977182e-005	0.00000000000000000000e+000	-5.77687950130000018589e+001	0.00000000000000000000e+000	2.23133592453418971922e-005	0.00000000000000000000e+000	-6.10009779092868784957e-005	0.00000000000000000000e+000	1.12879999350989237428e+001	1	1
1.81832725000000000000e+006	0.00000000000000000000e+000	1.81830200000000000000e+006	6.49916401019999979017e-005	0.00000000000000000000e+000	-5.77004814149999987194e+001	0.00000000000000000000e+000	2.64406357258293541509e-005	0.00000000000000000000e+000	-5.93700771901291214812e-005	0.00000000000000000000e+000	1.14299999352078884840e+001	1	1
1.81832925000000000000e+006	0.00000000000000000000e+000	1.81830400000000000000e+006	6.50412621330000016067e-005	0.00000000000000000000e+000	-5.76795577999999977692e+001	0.00000000000000000000e+000	2.76981258850873695058e-005	0.00000000000000000000e+000	-5.88487859034277202477e-005	0.00000000000000000000e+000	1.15719999352004379034e+001	1	1
1.81833100000000000000e+006	0.00000000000000000000e+000	1.81830600000000000000e+006	6.49673820590000001499e-005	0.00000000000000000000e+000	-5.77216529849999986368e+001	0.00000000000000000000e+000	2.51684486903833337559e-005	0.00000000000000000000e+000	-5.98941559930484069348e-005	0.00000000000000000000e+000	1.17139999351929873228e+001	1	1
1.81833325000000000000e+006	0.00000000000000000000e+000	1.81830800000000000000e+006	6.50315123489999987990e-005	0.00000000000000000000e+000	-5.76696014400000009914e+001	0.00000000000000000000e+000	2.82784234548447221491e-005	0.00000000000000000000e+000	-5.85613214101818866687e-005	0.00000000000000000000e+000	1.18559999351855367422e+001	1	1
1.81833525000000000000e+006	0.00000000000000000000e+000	1.81831000000000000000e+006	6.49149296809999987005e-005	0.00000000000000000000e+000	-5.76681442260000025612e+001	0.00000000000000000000e+000	2.83128818247059508575e-005	0.00000000000000000000e+000	-5.84151420290099948509e-005	0.00000000000000000000e+000	1.19989999351091682911e+001	1	1
1.81833712500000000000e+006	0.00000000000000000000e+000	1.81831200000000000000e+006	6.49819194219999939424e-005	0.00000000000000000000e+000	-5.76153831479999993803e+001	0.00000000000000000000e+000	3.13864556091327041366e-005	0.00000000000000000000e+000	-5.68993871325802774317e-005	0.00000000000000000000e+000	1.21399999351706355810e+001	1	1
1.81833875000000000000e+006	0.00000000000000000000e+000	1.81831400000000000000e+006	6.50231449979999932528e-005	0.00000000000000000000e+000	-5.77334442140000021482e+001	0.00000000000000000000e+000	2.44814847213890389433e-005	0.00000000000000000000e+000	-6.02384120911841965010e-005	0.00000000000000000000e+000	1.22829999350942671299e+001	1	1
1.81834112500000000000e+006	0.00000000000000000000e+000	1.81831600000000000000e+006	6.50328584020000042762e-005	0.00000000000000000000e+000	-5.77557296749999977692e+001	0.00000000000000000000e+000	2.31365317482169885314e-005	0.00000000000000000000e+000	-6.07780681709967608392e-005	0.00000000000000000000e+000	1.24249999352032318711e+001	1	1
1.81834312500000000000e+006	0.00000000000000000000e+000	1.81831800000000000000e+006	6.49263456580000065856e-005	0.00000000000000000000e+000	-5.77044754029999964473e+001	0.00000000000000000000e+000	2.61769767045242359273e-005	0.00000000000000000000e+000	-5.94154546487098063909e-005	0.00000000000000000000e+000	1.25689999351743608713e+001	1	1
1.81834525000000000000e+006	0.00000000000000000000e+000	1.81832000000000000000e+006	6.50113943269999992533e-005	0.00000000000000000000e+000	-5.76702423099999990086e+001	0.00000000000000000000e+000	2.82321509102453190520e-005	0.00000000000000000000e+000	-5.85613101571491674233e-005	0.00000000000000000000e+000	1.27099999351194128394e+001	1	1
1.81834725000000000000e+006	0.00000000000000000000e+000	1.81832200000000000000e+006	6.50237998340000067149e-005	0.00000000000000000000e+000	-5.77827377320000010741e+001	0.00000000000000000000e+000	2.14838030432232484051e-005	0.00000000000000000000e+000	-6.13721496417722888221e-005	0.00000000000000000000e+000	1.28549999351380392909e+001	1	1
1.81834912500000000000e+006	0.00000000000000000000e+000	1.81832400000000000000e+006	6.49936773699999947515e-005	0.00000000000000000000e+000	-5.76923828119999981823e+001	0.00000000000000000000e+000	2.69214219430757365479e-005	0.00000000000000000000e+000	-5.91558546438011487959e-005	0.00000000000000000000e+000	1.29969999351305887103e+001	1	1
1.81835100000000000000e+006	0.00000000000000000000e+000	1.81832600000000000000e+006	6.50564543319999953087e-005	0.00000000000000000000e+000	-5.76886138919999993391e+001	0.00000000000000000000e+000	2.71704022802409916187e-005	0.00000000000000000000e+000	-5.91110098897106972082e-005	0.00000000000000000000e+000	1.31409999351017177105e+001	1	1
1.81835312500000000000e+006	0.00000000000000000000e+000	1.81832800000000000000e+006	6.49621724729999990792e-005	0.00000000000000000000e+000	-5.76431388849999990498e+001	0.00000000000000000000e+000	2.97862306615396994238e-005	0.00000000000000000000e+000	-5.77309649615295365039e-005	0.00000000000000000000e+000	1.32819999351631850004e+001	1	1
1.81835550000000000000e+006	0.00000000000000000000e+000	1.81833000000000000000e+006	6.51012451269999958825e-005	0.00000000000000000000e+000	-5.77342910770000017351e+001	0.00000000000000000000e+000	2.44598060062338124097e-005	0.00000000000000000000e+000	-6.03315009528450991918e-005	0.00000000000000000000e+000	1.34269999351818114519e+001	1	1
1.81835700000000000000e+006	0.00000000000000000000e+000	1.81833200000000000000e+006	6.50451474940000031128e-005	0.00000000000000000000e+000	-5.76360702509999995868e+001	0.00000000000000000000e+000	3.02321278818070398730e-005	0.00000000000000000000e+000	-5.75924444372200654524e-005	0.00000000000000000000e+000	1.35669999351957812905e+001	1	1
1.81835925000000000000e+006	0.00000000000000000000e+000	1.81833400000000000000e+006	6.50958172630000040911e-005	0.00000000000000000000e+000	-5.76921844479999990085e+001	0.00000000000000000000e+000	2.69754822247765202133e-005	0.00000000000000000000e+000	-5.92434703902350320664e-005	0.00000000000000000000e+000	1.37129999351454898715e+001	1	1
1.81836137500000000000e+006	0.00000000000000000000e+000	1.81833600000000000000e+006	6.50521251370000052304e-005	0.00000000000000000000e+000	-5.77439041140000028918e+001	0.00000000000000000000e+000	2.38606989305286690750e-005	0.00000000000000000000e+000	-6.05181462983341570587e-005	0.00000000000000000000e+000	1.38539999352069571614e+001	1	1
1.81836337500000000000e+006	0.00000000000000000000e+000	1.81833800000000000000e+006	6.50260844849999934550e-005	0.00000000000000000000e+000	-5.77100219730000034701e+001	0.00000000000000000000e+000	2.58867295467770367661e-005	0.00000000000000000000e+000	-5.96512271191664391126e-005	0.00000000000000000000e+000	1.39959999351995065808e+001	1	1
1.81836512500000000000e+006	0.00000000000000000000e+000	1.81834000000000000000e+006	6.50526781099999959392e-005	0.00000000000000000000e+000	-5.77320594790000001240e+001	0.00000000000000000000e+000	2.45760326759353419474e-005	0.00000000000000000000e+000	-6.02317984721910078868e-005	0.00000000000000000000e+000	1.41389999351231381297e+001	1	1
1.81836700000000000000e+006	0.00000000000000000000e+000	1.81834200000000000000e+006	6.49962021270000052300e-005	0.00000000000000000000e+000	-5.77571907040000027678e+001	0.00000000000000000000e+000	2.30347175462846951778e-005	0.00000000000000000000e+000	-6.07775293878973335614e-005	0.00000000000000000000e+000	1.42799999351846054196e+001	1	1
1.81836937500000000000e+006	0.00000000000000000000e+000	1.81834400000000000000e+006	6.50446309010000041882e-005	0.00000000000000000000e+000	-5.77752685549999966952e+001	0.00000000000000000000e+000	2.19486281815984142322e-005	0.00000000000000000000e+000	-6.12295821477924887043e-005	0.00000000000000000000e+000	1.44199999351985752583e+001	1	1
1.81837112500000000000e+006	0.00000000000000000000e+000	1.81834600000000000000e+006	6.51076479700000017000e-005	0.00000000000000000000e+000	-5.77447509770000024787e+001	0.00000000000000000000e+000	2.38297614674058822859e-005	0.00000000000000000000e+000	-6.05900015893050028471e-005	0.00000000000000000000e+000	1.45619999351911246777e+001	1	1
1.81837300000000000000e+006	0.00000000000000000000e+000	1.81834800000000000000e+006	6.50539222990000054470e-005	0.00000000000000000000e+000	-5.76490287780000016937e+001	0.00000000000000000000e+000	2.94872746110462649962e-005	0.00000000000000000000e+000	-5.79871834330404099865e-005	0.00000000000000000000e+000	1.47039999351836740971e+001	1	1
1.81837512500000000000e+006	0.00000000000000000000e+000	1.81835000000000000000e+006	6.51045629639999940243e-005	0.00000000000000000000e+000	-5.77377738949999965712e+001	0.00000000000000000000e+000	2.42507703043751329244e-005	0.00000000000000000000e+000	-6.04194029958744018060e-005	0.00000000000000000000e+000	1.48449999351287260652e+001	1	1
1.81837712500000000000e+006	0.00000000000000000000e+000	1.81835200000000000000e+006	6.50541333020000035530e-005	0.00000000000000000000e+000	-5.77444458009999976866e+001	0.00000000000000000000e+000	2.38286491082088027903e-005	0.00000000000000000000e+000	-6.05329310487460710895e-005	0.00000000000000000000e+000	1.49879999351687729359e+001	1	1
1.81837912500000000000e+006	0.00000000000000000000e+000	1.81835400000000000000e+006	6.50726724419999942453e-005	0.00000000000000000000e+000	-5.77651901249999966126e+001	0.00000000000000000000e+000	2.25743289658098820257e-005	0.00000000000000000000e+000	-6.10315686385924565456e-005	0.00000000000000000000e+000	1.51279999351827427745e+001	1	1
1.81838112500000000000e+006	0.00000000000000000000e+000	1.81835600000000000000e+006	6.50670117469999984353e-005	0.00000000000000000000e+000	-5.77669029240000000414e+001	0.00000000000000000000e+000	2.24678064417267350208e-005	0.00000000000000000000e+000	-6.10648318705729245938e-005	0.00000000000000000000e+000	1.52749999351799488068e+001	1	1
1.81838337500000000000e+006	0.00000000000000000000e+000	1.81835800000000000000e+006	6.50270449109999941831e-005	0.00000000000000000000e+000	-5.76640014649999983476e+001	0.00000000000000000000e+000	2.86039551492062049816e-005	0.00000000000000000000e+000	-5.83980335257910086223e-005	0.00000000000000000000e+000	1.54209999351296573877e+001	1	1
1.81838512500000000000e+006	0.00000000000000000000e+000	1.81836000000000000000e+006	6.51778391330000000112e-005	0.00000000000000000000e+000	-5.77715301510000003304e+001	0.00000000000000000000e+000	2.22227933729385313108e-005	0.00000000000000000000e+000	-6.12723279201215364912e-005	0.00000000000000000000e+000	1.55659999351482838392e+001	1	1
